Date,vic,nsw
2020-01-25,-,-
2020-01-26,0,0
2020-01-27,0,1
2020-01-28,0,0
2020-01-29,2,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,1,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,3,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,2,1
2020-03-02,0,4
2020-03-03,0,6
2020-03-04,1,7
2020-03-05,0,3
2020-03-06,0,3
2020-03-07,1,8
2020-03-08,1,4
2020-03-09,3,7
2020-03-10,3,14
2020-03-11,3,4
2020-03-12,6,13
2020-03-13,9,14
2020-03-14,13,20
2020-03-15,8,22
2020-03-16,14,37
2020-03-17,23,39
2020-03-18,27,57
2020-03-19,29,40
2020-03-20,28,46
2020-03-21,51,83
2020-03-22,67,97
2020-03-23,59,136
2020-03-24,56,149
2020-03-25,55,211
2020-03-26,54,190
2020-03-27,54,186
2020-03-28,111,212
2020-03-29,84,174
2020-03-30,52,127
2020-03-31,96,114
2020-04-01,51,150
2020-04-02,68,116
2020-04-03,49,91
2020-04-04,30,104
2020-04-05,20,87
2020-04-06,23,57
2020-04-07,33,49
2020-04-08,21,48
2020-04-09,16,39
2020-04-10,13,49
2020-04-11,24,35
2020-04-12,3,-3
2020-04-13,13,9
2020-04-14,10,7
2020-04-15,8,205
2020-04-16,2,11
2020-04-17,1,29
2020-04-18,17,10
2020-04-19,9,21
2020-04-20,1,6
2020-04-21,7,6
2020-04-22,0,2
2020-04-23,1,5
2020-04-24,6,6
2020-04-25,3,12
2020-04-26,3,8
2020-04-27,0,2
2020-04-28,2,5
2020-04-29,3,7
2020-04-30,7,0
2020-05-01,3,9
2020-05-02,7,6
2020-05-03,13,4
2020-05-04,22,-2
2020-05-05,17,2
2020-05-06,17,7
2020-05-07,14,2
2020-05-08,13,3
2020-05-09,10,4
2020-05-10,10,2
2020-05-11,7,0
2020-05-12,15,0
2020-05-13,5,6
2020-05-14,9,4
2020-05-15,20,8
2020-05-16,11,3
2020-05-17,7,1
2020-05-18,6,1
2020-05-19,6,2
2020-05-20,7,3
2020-05-21,1,1
2020-05-22,12,2
2020-05-23,9,2
2020-05-24,1,1
2020-05-25,2,3
2020-05-26,5,2
2020-05-27,8,-3
2020-05-28,10,1
2020-05-29,6,2
2020-05-30,11,0
2020-05-31,4,3
2020-06-01,4,3
2020-06-02,10,6
2020-06-03,7,0
2020-06-04,8,2
2020-06-05,3,4
2020-06-06,0,0
2020-06-07,4,-1
2020-06-08,2,3
2020-06-09,0,2
2020-06-10,4,3
2020-06-11,8,0
2020-06-12,4,-1
2020-06-13,8,3
2020-06-14,9,9
2020-06-15,12,3
2020-06-16,9,3
2020-06-17,21,1
2020-06-18,18,2
2020-06-19,12,6
2020-06-20,25,1
2020-06-21,19,5
2020-06-22,11,2
2020-06-23,17,-1
2020-06-24,20,9
2020-06-25,33,3
2020-06-26,30,6
2020-06-27,40,6
2020-06-28,41,3
2020-06-29,71,7
2020-06-30,60,5
2020-07-01,72,14
2020-07-02,72,8
2020-07-03,65,0
2020-07-04,101,5
2020-07-05,67,14
2020-07-06,124,10
2020-07-07,164,4
2020-07-08,118,7
2020-07-09,156,13
2020-07-10,281,14
2020-07-11,181,7
2020-07-12,239,4
2020-07-13,168,14
2020-07-14,257,13
2020-07-15,224,12
2020-07-16,302,10
