,baseline,more_testing,faster_swabs,optimistic_tracing,best_case_testing,best_case,negligible_tracing,trace_household_only,faster_tracing,perfect,best_case_tracing,perfect_testing_no_tracing,perfect_testing_baseline_tracing,no_tracing_no_iso
full_name,Baseline,More testing,Faster testing,Optimistic tracing,Best case testing,Best case,Negligible tracing,Household tracing only,Faster tracing,Perfect response,Best case tracing,Perfect testing no tracing,Perfect testing baseline tracing,No tracing no iso
testing_symp_prob,0.5,0.75,,,0.75,0.75,,,,1,,1,1,
testing_symp_quar_prob,0.9,1,,,1,1,,,,1,,1,1,
testing_swab_delay,2,,1,,1,1,,,,0,,0,0,
testing_test_isolation_compliance,0.75,,,,1,1,,,,1,,1,1,0
trace_prob_H,0.95,,,0.95,,0.95,0,0.95,,1,1,0,,0
trace_prob_S,0.95,,,0.95,,0.95,0,0,,1,1,0,,0
trace_prob_W,0.8,,,0.95,,0.95,0,0,,1,1,0,,0
trace_prob_C,0.05,,,0.25,,0.25,0,0,,1,1,0,,0
trace_prob_church,0.5,,,0.75,,0.75,0,0,,1,1,0,,0
trace_prob_cSport,0.25,,,0.75,,0.75,0,0,,1,1,0,,0
trace_prob_entertainment,0.25,,,0.75,,0.75,0,0,,1,1,0,,0
trace_prob_cafe_restaurant,0.25,,,0.75,,0.75,0,0,,1,1,0,,0
trace_prob_pub_bar,0.25,,,0.75,,0.75,0,0,,1,1,0,,0
trace_prob_transport,0.01,,,0.5,,0.5,0,0,,1,1,0,,0
trace_prob_public_parks,0.01,,,0.25,,0.25,0,0,,1,1,0,,0
trace_prob_large_events,0.1,,,0.75,,0.75,0,0,,1,1,0,,0
trace_prob_child_care,0.95,,,0.95,,0.95,0,0,,1,1,0,,0
trace_prob_social,0.5,,,0.75,,0.75,0,0,,1,1,0,,0
trace_prob_aged_care,0.95,,,0.95,,0.95,0,0,,1,1,0,,0
trace_time_H,0,,,,,,,,0,0,0,0,,
trace_time_S,1,,,,,,,,1,0,0,0,,
trace_time_W,2,,,,,,,,1,0,0,0,,
trace_time_C,2,,,,,,,,1,0,0,0,,
trace_time_church,4,,,,,,,,1,0,0,0,,
trace_time_cSport,3,,,,,,,,1,0,0,0,,
trace_time_entertainment,2,,,,,,,,1,0,0,0,,
trace_time_cafe_restaurant,3,,,,,,,,1,0,0,0,,
trace_time_pub_bar,3,,,,,,,,1,0,0,0,,
trace_time_transport,3,,,,,,,,1,0,0,0,,
trace_time_public_parks,3,,,,,,,,1,0,0,0,,
trace_time_large_events,3,,,,,,,,1,0,0,0,,
trace_time_child_care,3,,,,,,,,1,0,0,0,,
trace_time_social,3,,,,,,,,1,0,0,0,,
trace_time_aged_care,3,,,,,,,,1,0,0,0,,
