CASES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Number,,,,Likely source,,,,,,,,
,Introduced,Community,Total,,Overseas,ACT,NSW,VIC,SA,TAS,WA,NT,Community
,,,,,,,,,,,,,
17-Sep,0,1,1,,,,,,,,,,1
16-Sep,0,0,0,,,,,,,,,,
15-Sep,1,0,1,,1,,,,,,,,
14-Sep,0,0,0,,,,,,,,,,
13-Sep,0,0,0,,,,,,,,,,
12-Sep,0,3,3,,,,,,,,,,3
11-Sep,0,2,2,,,,,,,,,,2
10-Sep,0,0,0,,,,,,,,,,
9-Sep,0,8,8,,,,,,,,,,8
8-Sep,1,0,1,,1,,,,,,,,
7-Sep,0,2,2,,,,,,,,,,2
6-Sep,0,2,2,,,,,,,,,,2
5-Sep,0,1,1,,,,,,,,,,1
4-Sep,0,0,0,,,,,,,,,,
3-Sep,0,2,2,,,,,,,,,,2
2-Sep,0,2,2,,,,,,,,,,2
1-Sep,0,2,2,,,,,,,,,,2
31-Aug,0,1,1,,,,,,,,,,1
30-Aug,0,4,4,,,,,,,,,,4
29-Aug,0,4,4,,,,,,,,,,4
28-Aug,0,3,3,,,,,,,,,,3
27-Aug,1,1,2,,1,,,,,,,,1
26-Aug,0,1,1,,,,,,,,,,1
25-Aug,0,0,0,,,,,,,,,,
24-Aug,0,1,1,,,,,,,,,,1
23-Aug,0,2,2,,,,,,,,,,2
22-Aug,3,6,9,,3,,,,,,,,6
21-Aug,0,0,0,,,,,,,,,,
20-Aug,0,1,1,,,,,,,,,,1
19-Aug,1,0,1,,1,,,,,,,,
18-Aug,0,0,0,,,,,,,,,,
17-Aug,0,0,0,,,,,,,,,,
16-Aug,0,0,0,,,,,,,,,,
15-Aug,0,0,0,,,,,,,,,,
14-Aug,3,0,3,,2,,1,,,,,,
13-Aug,0,0,0,,,,,,,,,,
12-Aug,0,0,0,,,,,,,,,,
11-Aug,0,0,0,,,,,,,,,,
10-Aug,1,0,1,,1,,,,,,,,
9-Aug,0,0,0,,,,,,,,,,
8-Aug,0,0,0,,,,,,,,,,
7-Aug,0,0,0,,,,,,,,,,
6-Aug,0,0,0,,,,,,,,,,
5-Aug,0,1,1,,,,,,,,,,1
4-Aug,0,0,0,,,,,,,,,,
3-Aug,0,0,0,,,,,,,,,,
2-Aug,1,0,1,,1,,,,,,,,
1-Aug,0,1,1,,,,,,,,,,1
31-Jul,0,1,1,,,,,,,,,,1
