location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests,Import_2,total_cases_source_overseas,new_cases_source_overseas,total_cases_source_interstate,new_cases_source_interstate,total_cases_source_community,new_cases_source_community,total_cases_source_unknown,new_cases_source_unknown,total_cases_source_under_investigation,new_cases_source_under_investigation,data
QLD,2020-01-25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,https://www.covid19data.com.au/states-and-territories
QLD,2020-01-26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-01-27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-01-28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-01-29,2,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-01-30,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-01-31,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-1,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-3,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-4,3,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-5,4,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-6,5,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-7,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-8,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-9,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-10,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-11,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-12,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-13,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-14,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-15,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-16,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-17,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-18,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-19,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-20,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-21,7,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-22,8,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-23,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-24,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
QLD,2020-02-25,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
