location,date,new_diagnoses,new_diagnoses_total,new_tests,cum_diagnoses,index
QLD,2020-01-22,0,0,5,0,0
QLD,2020-01-23,0,0,1,0,1
QLD,2020-01-24,0,0,8,0,2
QLD,2020-01-25,0,0,7,0,3
QLD,2020-01-26,0,0,4,0,4
QLD,2020-01-27,0,0,10,0,5
QLD,2020-01-28,0,1,41,1,6
QLD,2020-01-29,0,1,70,2,7
QLD,2020-01-30,0,0,132,2,8
QLD,2020-01-31,0,0,123,2,9
QLD,2020-02-01,0,1,49,3,10
QLD,2020-02-02,0,0,20,3,11
QLD,2020-02-03,1,1,60,4,12
QLD,2020-02-04,2,2,76,6,13
QLD,2020-02-05,0,0,87,6,14
QLD,2020-02-06,0,0,55,6,15
QLD,2020-02-07,0,1,66,7,16
QLD,2020-02-08,0,0,31,7,17
QLD,2020-02-09,0,0,30,7,18
QLD,2020-02-10,0,0,100,7,19
QLD,2020-02-11,0,0,87,7,20
QLD,2020-02-12,0,1,83,8,21
QLD,2020-02-13,0,0,84,8,22
QLD,2020-02-14,0,1,91,9,23
QLD,2020-02-15,0,0,28,9,24
QLD,2020-02-16,0,1,25,10,25
QLD,2020-02-17,0,0,72,10,26
QLD,2020-02-18,0,0,110,10,27
QLD,2020-02-19,0,1,74,11,28
QLD,2020-02-20,0,2,102,13,29
QLD,2020-02-21,0,2,102,15,30
QLD,2020-02-22,0,1,47,16,31
QLD,2020-02-23,0,1,36,17,32
QLD,2020-02-24,0,0,146,17,33
QLD,2020-02-25,0,1,165,18,34
QLD,2020-02-26,0,1,214,19,35
QLD,2020-02-27,0,2,192,21,36
QLD,2020-02-28,0,0,189,21,37
QLD,2020-02-29,0,0,114,21,38
QLD,2020-03-01,0,2,125,23,39
QLD,2020-03-02,1,4,523,27,40
QLD,2020-03-03,0,2,572,29,41
QLD,2020-03-04,1,1,661,30,42
QLD,2020-03-05,0,3,759,33,43
QLD,2020-03-06,1,6,802,39,44
QLD,2020-03-07,2,7,380,46,45
QLD,2020-03-08,1,13,472,59,46
QLD,2020-03-09,3,23,2723,82,47
QLD,2020-03-10,1,18,2486,100,48
QLD,2020-03-11,4,22,2256,122,49
QLD,2020-03-12,10,27,3071,149,50
QLD,2020-03-13,6,31,4033,180,51
QLD,2020-03-14,6,27,1531,207,52
QLD,2020-03-15,9,40,1028,247,53
QLD,2020-03-16,10,42,4322,289,54
QLD,2020-03-17,17,61,2990,350,55
QLD,2020-03-18,12,67,2200,417,56
QLD,2020-03-19,8,87,1978,504,57
QLD,2020-03-20,12,71,1893,575,58
QLD,2020-03-21,10,70,1111,645,59
QLD,2020-03-22,15,65,945,710,60
QLD,2020-03-23,20,70,2304,780,61
QLD,2020-03-24,10,52,2175,832,62
QLD,2020-03-25,10,37,2225,869,63
QLD,2020-03-26,4,24,2945,893,64
QLD,2020-03-27,11,31,2617,924,65
QLD,2020-03-28,11,31,1426,955,66
QLD,2020-03-29,6,18,900,973,67
QLD,2020-03-30,4,14,2389,987,68
QLD,2020-03-31,5,14,1975,1001,69
QLD,2020-04-01,3,10,1750,1011,70
QLD,2020-04-02,4,12,1470,1023,71
QLD,2020-04-03,1,2,1507,1025,72
QLD,2020-04-04,5,7,752,1032,73
QLD,2020-04-05,1,4,507,1036,74
QLD,2020-04-06,1,1,1661,1037,75
QLD,2020-04-07,0,1,2815,1038,76
QLD,2020-04-08,1,4,2880,1042,77
QLD,2020-04-09,4,7,2632,1049,78
QLD,2020-04-10,1,1,792,1050,79
QLD,2020-04-11,2,2,982,1052,80
QLD,2020-04-12,0,0,760,1052,81
QLD,2020-04-13,0,3,884,1055,82
QLD,2020-04-14,1,2,2621,1057,83
QLD,2020-04-15,2,2,2449,1059,84
QLD,2020-04-16,0,0,2618,1059,85
QLD,2020-04-17,1,1,3054,1060,86
QLD,2020-04-18,0,0,1429,1060,87
QLD,2020-04-19,0,0,995,1060,88
QLD,2020-04-20,1,1,2658,1061,89
QLD,2020-04-21,0,0,2293,1061,90
QLD,2020-04-22,0,0,2512,1061,91
QLD,2020-04-23,0,1,2068,1062,92
QLD,2020-04-24,0,0,2032,1062,93
QLD,2020-04-25,0,0,1098,1062,94
QLD,2020-04-26,0,1,1044,1063,95
QLD,2020-04-27,0,0,3274,1063,96
QLD,2020-04-28,0,1,3255,1064,97
QLD,2020-04-29,1,1,3006,1065,98
QLD,2020-04-30,0,1,2819,1066,99
QLD,2020-05-01,0,0,2530,1066,100
QLD,2020-05-02,1,3,1288,1069,101
QLD,2020-05-03,0,0,1099,1069,102
QLD,2020-05-04,0,0,1446,1069,103
QLD,2020-05-05,0,1,5106,1070,104
QLD,2020-05-06,0,0,4617,1070,105
QLD,2020-05-07,0,0,3813,1070,106
QLD,2020-05-08,0,0,3319,1070,107
QLD,2020-05-09,0,0,1369,1070,108
QLD,2020-05-10,0,0,819,1070,109
QLD,2020-05-11,0,0,3746,1070,110
QLD,2020-05-12,0,0,3359,1070,111
QLD,2020-05-13,0,1,3612,1071,112
QLD,2020-05-14,0,2,3124,1073,113
QLD,2020-05-15,0,0,3391,1073,114
QLD,2020-05-16,0,0,2054,1073,115
QLD,2020-05-17,0,1,1574,1074,116
QLD,2020-05-18,0,0,5411,1074,117
QLD,2020-05-19,0,0,4041,1074,118
QLD,2020-05-20,0,0,3555,1074,119
QLD,2020-05-21,0,0,3845,1074,120
QLD,2020-05-22,0,1,3073,1075,121
QLD,2020-05-23,0,0,1380,1075,122
