Date,vic,nsw,qld
2020-03-01,,,
2020-03-02,,,
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,122,,
2020-03-20,139,,
2020-03-21,178,,
2020-03-22,226,,
2020-03-23,258,,
2020-03-24,298,,
2020-03-25,338,,
2020-03-26,368,,
2020-03-27,399,,
2020-03-28,491,,
2020-03-29,572,,
2020-03-30,569,,
2020-03-31,622,,
2020-04-01,621,,
2020-04-02,608,,
2020-04-03,602,,
2020-04-04,580,,
2020-04-05,554,,
2020-04-06,528,,743
2020-04-07,494,,756
2020-04-08,464,1357,593
2020-04-09,410,1396,576
2020-04-10,302,1444,592
2020-04-11,265,1478,601
2020-04-12,239,1474,610
2020-04-13,192,1481,540
2020-04-14,159,1488,551
2020-04-15,148,1504,552
2020-04-16,134,1515,554
2020-04-17,129,1544,560
2020-04-18,133,1552,270
2020-04-19,125,1572,275
2020-04-20,118,1577,275
2020-04-21,119,1183,280
2020-04-22,78,1012,280
2020-04-23,70,936,282
2020-04-24,73,891,282
2020-04-25,68,765,217
2020-04-26,67,758,98
2020-04-27,52,741,101
2020-04-28,55,725,93
2020-04-29,49,708,94
2020-04-30,52,690,84
2020-05-01,53,689,79
2020-05-02,53,688,63
2020-05-03,66,685,53
2020-05-04,78,660,52
2020-05-05,94,640,57
2020-05-06,101,572,52
2020-05-07,114,535,50
2020-05-08,122,515,45
2020-05-09,123,501,20
2020-05-10,123,492,20
2020-05-11,116,490,18
2020-05-12,115,464,18
2020-05-13,111,441,17
2020-05-14,120,421,16
2020-05-15,118,419,17
2020-05-16,119,416,13
2020-05-17,126,416,12
2020-05-18,110,416,13
2020-05-19,101,415,12
2020-05-20,93,401,12
2020-05-21,88,385,12
2020-05-22,93,386,12
2020-05-23,92,383,13
2020-05-24,84,384,14
2020-05-25,64,384,12
2020-05-26,56,381,12
2020-05-27,57,376,7
2020-05-28,61,370,6
2020-05-29,62,376,6
2020-05-30,67,359,6
2020-05-31,70,360,5
2020-06-01,71,363,5
2020-06-02,79,367,5
2020-06-03,79,363,5
2020-06-04,73,356,3
2020-06-05,74,346,3
2020-06-06,71,341,4
2020-06-07,70,336,3
2020-06-08,71,338,3
2020-06-09,64,335,3
2020-06-10,54,332,3
2020-06-11,57,225,4
2020-06-12,49,71,4
2020-06-13,47,65,5
2020-06-14,40,70,5
2020-06-15,49,73,5
2020-06-16,51,76,5
2020-06-17,70,77,5
2020-06-18,81,79,5
2020-06-19,91,83,4
2020-06-20,110,84,3
2020-06-21,121,88,3
2020-06-22,125,90,3
2020-06-23,131,88,2
2020-06-24,141,98,2
2020-06-25,163,5,2
2020-06-26,183,6,2
2020-06-27,204,7,2
2020-06-28,231,7,2
2020-06-29,288,7,2
2020-06-30,321,7,2
2020-07-01,370,7,2
2020-07-02,415,6,2
2020-07-03,442,6,2
2020-07-04,509,6,1
2020-07-05,543,6,1
2020-07-06,645,6,1
2020-07-07,772,5,2
2020-07-08,860,5,2
2020-07-09,932,5,2
2020-07-10,1172,6,2
2020-07-11,1249,7,3
2020-07-12,1484,10,3
2020-07-13,1612,18,4
2020-07-14,1803,29,4
2020-07-15,1931,39,4
2020-07-16,2128,44,4
2020-07-17,2462,49,4
2020-07-18,2608,59,3
2020-07-19,2837,71,2
2020-07-20,2913,86,2
2020-07-21,3147,96,2
2020-07-22,3408,110,3
2020-07-23,3630,124,3
2020-07-24,3734,131,5
2020-07-25,3995,140,5
2020-07-26,4233,151,5
2020-07-27,4542,160,5
2020-07-28,4775,172,5
2020-07-29,4839,188,8
2020-07-30,5385,203,11
2020-07-31,5743,219,10
2020-08-01,5919,231,12
2020-08-02,6322,240,13
2020-08-03,6489,250,12
2020-08-04,6706,255,12
2020-08-05,7227,262,11
2020-08-06,7449,270,12
2020-08-07,7637,274,11
2020-08-08,7808,272,11
2020-08-09,7854,275,11
2020-08-10,7869,278,11
2020-08-11,7880,289,11
2020-08-12,7877,297,11
2020-08-13,7866,291,9
2020-08-14,7877,288,9
2020-08-15,7875,286,9
2020-08-16,7671,279,9
2020-08-17,7474,272,8
2020-08-18,7274,261,7
2020-08-19,7155,256,6
