Date,vic,nsw,qld
2020-04-01,32,,65
2020-04-02,34,,60
2020-04-03,37,,60
2020-04-04,42,,
2020-04-05,47,118,47
2020-04-06,45,250,43
2020-04-07,47,103,42
2020-04-08,45,92,35
2020-04-09,50,88,33
2020-04-10,43,83,36
2020-04-11,44,78,28
2020-04-12,44,78,30
2020-04-13,40,77,23
2020-04-14,40,80,24
2020-04-15,39,73,23
2020-04-16,39,64,21
2020-04-17,32,63,19
2020-04-18,30,57,22
2020-04-19,29,57,22
2020-04-20,28,53,20
2020-04-21,28,55,21
2020-04-22,29,50,20
2020-04-23,27,47,20
2020-04-24,27,43,18
2020-04-25,24,39,18
2020-04-26,21,37,18
2020-04-27,23,35,15
2020-04-28,23,34,14
2020-04-29,18,28,12
2020-04-30,18,27,11
2020-05-01,16,27,11
2020-05-02,12,28,10
2020-05-03,12,27,9
2020-05-04,11,27,9
2020-05-05,12,25,9
2020-05-06,8,25,9
2020-05-07,8,24,8
2020-05-08,8,23,9
2020-05-09,7,20,9
2020-05-10,7,13,8
2020-05-11,7,20,7
2020-05-12,8,19,7
2020-05-13,9,22,7
2020-05-14,9,23,7
2020-05-15,9,22,6
2020-05-16,11,22,5
2020-05-17,11,22,5
2020-05-18,9,22,4
2020-05-19,11,22,4
2020-05-20,10,20,4
2020-05-21,10,20,4
2020-05-22,10,20,4
2020-05-23,10,17,4
2020-05-24,9,16,4
2020-05-25,8,15,4
2020-05-26,8,14,4
2020-05-27,8,14,4
2020-05-28,8,13,4
2020-05-29,7,13,1
2020-05-30,7,12,1
2020-05-31,6,11,1
2020-06-01,6,10,2
2020-06-02,9,11,2
2020-06-03,9,11,2
2020-06-04,7,11,2
2020-06-05,7,10,2
2020-06-06,8,9,2
2020-06-07,6,9,2
2020-06-08,7,9,2
2020-06-09,7,9,2
2020-06-10,9,9,1
2020-06-11,6,10,1
2020-06-12,5,10,2
2020-06-13,5,9,2
2020-06-14,6,9,1
2020-06-15,7,9,1
2020-06-16,6,10,1
2020-06-17,5,10,1
2020-06-18,4,9,1
2020-06-19,5,9,1
2020-06-20,6,10,1
2020-06-21,7,9,1
2020-06-22,9,8,1
2020-06-23,9,9,1
2020-06-24,7,8,1
2020-06-25,7,8,1
2020-06-26,6,4,2
2020-06-27,5,5,2
2020-06-28,7,3,1
2020-06-29,9,5,1
2020-06-30,9,4,1
2020-07-01,15,2,1
2020-07-02,20,2,1
2020-07-03,23,2,1
2020-07-04,25,2,1
2020-07-05,26,2,1
2020-07-06,31,1,1
2020-07-07,35,2,1
2020-07-08,41,3,1
2020-07-09,40,3,1
2020-07-10,47,4,1
2020-07-11,49,3,1
2020-07-12,57,7,1
2020-07-13,72,17,1
2020-07-14,85,2,1
2020-07-15,105,2,1
2020-07-16,109,2,1
2020-07-17,122,2,1
2020-07-18,110,3,1
2020-07-19,130,2,1
2020-07-20,147,5,2
2020-07-21,174,4,2
2020-07-22,205,5,2
2020-07-23,201,6,2
2020-07-24,206,7,2
2020-07-25,229,6,2
2020-07-26,228,9,2
2020-07-27,245,10,2
2020-07-28,260,11,2
2020-07-29,307,10,4
2020-07-30,312,11,5
2020-07-31,349,11,5
2020-08-01,379,13,6
2020-08-02,385,13,7
2020-08-03,416,13,7
2020-08-04,456,17,7
2020-08-05,538,20,5
2020-08-06,575,16,6
2020-08-07,607,15,6
2020-08-08,636,15,4
2020-08-09,634,17,4
2020-08-10,640,17,4
2020-08-11,650,17,4
2020-08-12,662,17,4
2020-08-13,664,15,4
2020-08-14,659,14,4
2020-08-15,661,16,3
2020-08-16,662,14,3
2020-08-17,657,13,3
2020-08-18,665,13,3
2020-08-19,675,15,3
2020-08-20,622,,
2020-08-21,636,,
2020-08-22,610,,
2020-08-23,585,,
2020-08-24,629,,
2020-08-25,617,,
2020-08-26,578,,
2020-08-27,532,,
2020-08-28,513,,
2020-08-29,481,,
2020-08-30,472,,
2020-08-31,453,,
2020-09-01,421,,
2020-09-02,406,,
2020-09-03,361,,
2020-09-04,329,,
2020-09-05,298,,
2020-09-06,283,,
2020-09-07,266,,
2020-09-08,238,,
2020-09-09,196,,
2020-09-10,169,,
