location,date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,imported_cases
Victoria,1/06/2020,4,4,0,0,5850,5850,0
Victoria,2/06/2020,10,14,0,0,4604,10454,7
Victoria,3/06/2020,7,21,0,0,3934,14388,6
Victoria,4/06/2020,8,29,0,0,8469,22857,2
Victoria,5/06/2020,3,32,0,0,5554,28411,0
Victoria,6/06/2020,0,32,0,0,3963,32374,3
Victoria,7/06/2020,4,36,0,0,3963,36337,1
Victoria,8/06/2020,2,38,0,0,2538,38875,0
Victoria,9/06/2020,0,38,0,0,2977,41852,0
Victoria,10/06/2020,4,42,0,0,8731,50583,2
Victoria,11/06/2020,8,50,0,0,5134,55717,2
Victoria,12/06/2020,4,54,0,0,7579,63296,6
Victoria,13/06/2020,8,62,0,0,9529,72825,3
Victoria,14/06/2020,9,71,0,0,8339,81164,1
Victoria,15/06/2020,12,83,0,0,4012,85176,3
Victoria,16/06/2020,9,92,0,0,5030,90206,15
Victoria,17/06/2020,21,113,0,0,8931,99137,7
Victoria,18/06/2020,18,131,0,0,12400,111537,1
Victoria,19/06/2020,12,143,0,0,14671,126208,2
Victoria,20/06/2020,25,168,0,0,9504,135712,3
Victoria,21/06/2020,19,187,0,0,15400,151112,4
Victoria,22/06/2020,11,198,0,0,6314,157426,2
Victoria,23/06/2020,17,215,0,0,8149,165575,1
Victoria,24/06/2020,20,235,1,1,20999,186574,10
Victoria,25/06/2020,33,268,0,1,20304,206878,8
Victoria,26/06/2020,30,298,0,1,20168,227046,1
Victoria,27/06/2020,40,338,0,1,22103,249149,0
Victoria,28/06/2020,41,379,0,1,17954,267103,1
Victoria,29/06/2020,71,450,0,1,15381,282484,0
Victoria,30/06/2020,60,510,0,1,17416,299900,6
Victoria,1/07/2020,72,582,0,1,20682,320582,3
Victoria,2/07/2020,72,654,0,1,26320,346902,7
Victoria,3/07/2020,65,719,0,1,24430,371332,0
Victoria,4/07/2020,101,820,0,1,25553,396885,2
Victoria,5/07/2020,67,887,0,1,21597,418482,0
Victoria,6/07/2020,124,1011,2,3,24528,443010,1
Victoria,7/07/2020,164,1175,0,3,26554,469564,1
Victoria,8/07/2020,118,1293,0,3,29424,498988,0
Victoria,9/07/2020,156,1449,0,3,21785,520773,0
Victoria,10/07/2020,281,1730,0,3,37588,558361,0
Victoria,11/07/2020,181,1911,1,4,27169,585530,0
Victoria,12/07/2020,239,2150,1,5,30195,615725,0
Victoria,13/07/2020,168,2318,0,5,22943,638668,0
Victoria,14/07/2020,257,2575,2,7,21995,660663,0
Victoria,15/07/2020,224,2799,1,8,27040,687703,0
Victoria,16/07/2020,302,3101,2,10,28607,716310,0
Victoria,17/07/2020,415,3516,3,13,24409,740719,0
Victoria,18/07/2020,188,3704,3,16,28104,768823,0
Victoria,19/07/2020,343,4047,3,19,26674,795497,0
Victoria,20/07/2020,246,4293,1,20,26588,822085,0
Victoria,21/07/2020,347,4640,3,23,29464,851549,0
Victoria,22/07/2020,450,5090,2,25,24726,876275,0
Victoria,23/07/2020,386,5476,5,30,27151,903426,0
Victoria,24/07/2020,280,5756,7,37,24118,927544,0
Victoria,25/07/2020,339,6095,5,42,20313,947857,0
Victoria,26/07/2020,437,6532,10,52,42973,990830,0
Victoria,27/07/2020,515,7047,6,58,17588,1008418,0
Victoria,28/07/2020,353,7400,6,64,18521,1026939,0
Victoria,29/07/2020,255,7655,9,73,18077,1045016,0
Victoria,30/07/2020,694,8349,13,86,19921,1064937,0
Victoria,31/07/2020,579,8928,8,94,33826,1098763,0
Victoria,1/08/2020,354,9282,3,97,25501,1124264,0
Victoria,2/08/2020,626,9908,7,104,18000,1142264,0
Victoria,3/08/2020,380,10288,13,117,25000,1167264,0
Victoria,4/08/2020,398,10686,11,128,21000,1188264,0
Victoria,5/08/2020,700,11386,15,143,24000,1212264,0
Victoria,6/08/2020,434,11820,8,151,25000,1237264,0
Victoria,7/08/2020,398,12218,11,162,25000,1262264,0
Victoria,8/08/2020,416,12634,12,174,14716,1276980,0
Victoria,9/08/2020,376,13010,16,190,14716,1291696,0
Victoria,10/08/2020,298,13308,18,208,19213,1310909,0
Victoria,11/08/2020,294,13602,19,227,34090,1344999,0
NSW,25/01/2020,3,3,0,0,0,0,3
NSW,26/01/2020,0,3,0,0,0,0,0
NSW,27/01/2020,1,4,0,0,0,0,1
NSW,28/01/2020,0,4,0,0,0,0,0
