iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests,hospitalised
AUS,AUS,Victoria,2020-06-01,4,4,0,0,3,5850,5850,6
AUS,AUS,Victoria,2020-06-02,14,10,0,0,0,11668,5818,9
AUS,AUS,Victoria,2020-06-03,21,7,0,0,0,16816,5148,9
AUS,AUS,Victoria,2020-06-04,29,8,0,0,8,26499,9683,7
AUS,AUS,Victoria,2020-06-05,32,3,0,0,4,33267,6768,7
AUS,AUS,Victoria,2020-06-06,32,0,0,0,1,40035,6768,8
AUS,AUS,Victoria,2020-06-07,36,4,0,0,1,49175,9140,6
AUS,AUS,Victoria,2020-06-08,38,2,0,0,2,52927,3752,7
AUS,AUS,Victoria,2020-06-09,38,0,0,0,1,57108,4181,7
AUS,AUS,Victoria,2020-06-10,42,4,0,0,0,67063,9955,9
AUS,AUS,Victoria,2020-06-11,50,8,0,0,0,73411,6348,6
AUS,AUS,Victoria,2020-06-12,54,4,0,0,3,82204,8793,5
AUS,AUS,Victoria,2020-06-13,62,8,0,0,2,91733,9529,5
AUS,AUS,Victoria,2020-06-14,71,9,0,0,6,100072,8339,6
AUS,AUS,Victoria,2020-06-15,83,12,0,0,3,104084,4012,7
AUS,AUS,Victoria,2020-06-16,92,9,0,0,2,109114,5030,6
AUS,AUS,Victoria,2020-06-17,113,21,0,0,4,118045,8931,5
AUS,AUS,Victoria,2020-06-18,131,18,0,0,6,130445,12400,4
AUS,AUS,Victoria,2020-06-19,144,13,0,0,9,145116,14671,5
AUS,AUS,Victoria,2020-06-20,169,25,0,0,4,154620,9504,6
AUS,AUS,Victoria,2020-06-21,188,19,0,0,3,170020,15400,7
AUS,AUS,Victoria,2020-06-22,204,16,0,0,3,176334,6314,9
AUS,AUS,Victoria,2020-06-23,221,17,0,0,5,184483,8149,9
AUS,AUS,Victoria,2020-06-24,241,20,1,1,2,205482,20999,7
AUS,AUS,Victoria,2020-06-25,274,33,1,0,7,225786,20304,7
AUS,AUS,Victoria,2020-06-26,304,30,1,0,7,245954,20168,6
AUS,AUS,Victoria,2020-06-27,345,41,1,0,6,268057,22103,5
AUS,AUS,Victoria,2020-06-28,394,49,1,0,1,286011,17954,7
AUS,AUS,Victoria,2020-06-29,469,75,1,0,1,301392,15381,9
AUS,AUS,Victoria,2020-06-30,533,64,1,0,0,318808,17416,9
AUS,AUS,Victoria,2020-07-01,606,73,1,0,0,339490,20682,15
AUS,AUS,Victoria,2020-07-02,683,77,1,0,1,365810,26320,20
AUS,AUS,Victoria,2020-07-03,749,66,1,0,8,390240,24430,23
AUS,AUS,Victoria,2020-07-04,857,108,1,0,2,415793,25553,25
AUS,AUS,Victoria,2020-07-05,931,74,1,0,2,437390,21597,26
AUS,AUS,Victoria,2020-07-06,1058,127,3,2,2,461918,24528,31
AUS,AUS,Victoria,2020-07-08,1176,118,5,2,2,491342,29424,35
AUS,AUS,Victoria,2020-07-09,1332,156,7,2,2,513127,21785,41
AUS,AUS,Victoria,2020-07-10,1613,281,9,2,2,550715,37588,40
AUS,AUS,Victoria,2020-07-11,1794,181,11,2,2,577884,27169,47
AUS,AUS,Victoria,2020-07-12,2033,239,13,2,2,608079,30195,49
AUS,AUS,Victoria,2020-07-13,2201,168,15,2,2,631022,22943,57
AUS,AUS,Victoria,2020-07-14,2458,257,17,2,2,653017,21995,72
AUS,AUS,Victoria,2020-07-15,2682,224,19,2,2,680057,27040,85
AUS,AUS,Victoria,2020-07-16,2984,302,21,2,2,708664,28607,105
AUS,AUS,Victoria,2020-07-17,3399,415,23,2,2,733073,24409,109
AUS,AUS,Victoria,2020-07-18,3587,188,25,2,2,761177,28104,122
AUS,AUS,Victoria,2020-07-19,3930,343,27,2,2,787851,26674,110
AUS,AUS,Victoria,2020-07-20,4176,246,29,2,2,814439,26588,130
AUS,AUS,Victoria,2020-07-21,4523,347,31,2,2,843903,29464,147
AUS,AUS,Victoria,2020-07-22,4973,450,33,2,2,868629,24726,174
AUS,AUS,Victoria,2020-07-23,5359,386,35,2,2,895780,27151,205
AUS,AUS,Victoria,2020-07-24,5639,280,37,2,2,919898,24118,201
AUS,AUS,Victoria,2020-07-25,5978,339,39,2,2,940211,20313,206
AUS,AUS,Victoria,2020-07-26,6415,437,41,2,2,983184,42973,229
AUS,AUS,Victoria,2020-07-27,6930,515,43,2,2,1000772,17588,228
