location,date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,imported_cases
Victoria,2020-01-25,1,1,0,0,0,0,1
Victoria,2020-01-26,0,1,0,0,0,0,0
Victoria,2020-01-27,0,1,0,0,0,0,0
Victoria,2020-01-28,0,1,0,0,0,0,1
Victoria,2020-01-29,2,3,0,0,0,0,0
Victoria,2020-01-30,0,3,0,0,0,0,1
Victoria,2020-01-31,0,3,0,0,0,0,1
Victoria,2020-02-01,1,4,0,0,0,0,0
Victoria,2020-02-02,0,4,0,0,0,0,0
Victoria,2020-02-03,0,4,0,0,0,0,0
Victoria,2020-02-04,0,4,0,0,0,0,0
Victoria,2020-02-05,0,4,0,0,0,0,0
Victoria,2020-02-06,0,4,0,0,0,0,0
Victoria,2020-02-07,0,4,0,0,0,0,0
Victoria,2020-02-08,0,4,0,0,0,0,0
Victoria,2020-02-09,0,4,0,0,0,0,0
Victoria,2020-02-10,0,4,0,0,0,0,0
Victoria,2020-02-11,0,4,0,0,0,0,0
Victoria,2020-02-12,0,4,0,0,0,0,0
Victoria,2020-02-13,0,4,0,0,0,0,0
Victoria,2020-02-14,0,4,0,0,0,0,0
Victoria,2020-02-15,0,4,0,0,0,0,0
Victoria,2020-02-16,0,4,0,0,0,0,0
Victoria,2020-02-17,0,4,0,0,0,0,0
Victoria,2020-02-18,0,4,0,0,0,0,0
Victoria,2020-02-19,0,4,0,0,0,0,0
Victoria,2020-02-20,0,4,0,0,0,0,0
Victoria,2020-02-21,0,4,0,0,0,0,0
Victoria,2020-02-22,0,4,0,0,0,0,2
Victoria,2020-02-23,0,4,0,0,0,0,0
Victoria,2020-02-24,0,4,0,0,0,0,0
Victoria,2020-02-25,0,4,0,0,0,0,1
Victoria,2020-02-26,0,4,0,0,0,0,0
Victoria,2020-02-27,3,7,0,0,0,0,0
Victoria,2020-02-28,0,7,0,0,0,0,0
Victoria,2020-02-29,0,7,0,0,0,0,0
Victoria,2020-03-01,2,9,0,0,0,0,2
Victoria,2020-03-02,0,9,0,0,0,0,0
Victoria,2020-03-03,0,9,0,0,0,0,0
