location,date,cum_infections,new_diagnoses,cum_deaths,new_deaths,new_tests,cum_tests,imported_cases,
Lombardy,2020-01-29,1,1,0,0,0,0,100,
Lombardy,2020-01-30,1,0,0,0,0,0,100,
Lombardy,2020-01-31,1,0,0,0,0,0,100,
Lombardy,2020-02-01,1,0,0,0,0,0,100,
Lombardy,2020-02-02,1,0,0,0,0,0,100,
Lombardy,2020-02-03,1,0,0,0,0,0,100,
Lombardy,2020-02-04,1,0,0,0,0,0,100,
Lombardy,2020-02-05,1,0,0,0,0,0,100,
Lombardy,2020-02-06,1,0,0,0,0,0,100,
Lombardy,2020-02-07,1,0,0,0,100,100,100,
Lombardy,2020-02-08,1,0,0,0,100,200,100,
Lombardy,2020-02-09,3,2,0,0,100,300,100,
Lombardy,2020-02-10,4,1,0,0,100,400,100,
Lombardy,2020-02-11,6,2,0,0,100,500,100,
Lombardy,2020-02-12,6,0,0,0,100,600,100,
Lombardy,2020-02-13,6,0,0,0,100,700,100,
Lombardy,2020-02-14,8,2,0,0,100,800,100,
Lombardy,2020-02-15,9,1,0,0,100,900,100,
Lombardy,2020-02-16,9,0,0,0,100,1000,100,
Lombardy,2020-02-17,9,0,0,0,100,1100,100,
Lombardy,2020-02-18,9,0,0,0,100,1200,100,
Lombardy,2020-02-19,12,3,0,0,100,1300,100,
Lombardy,2020-02-20,12,0,0,0,100,1400,100,
Lombardy,2020-02-21,13,1,0,0,100,1500,100,
Lombardy,2020-02-22,15,2,0,0,100,1600,100,
Lombardy,2020-02-23,69,54,0,0,100,1700,100,
Lombardy,2020-02-24,172,103,6,6,300,2000,0,
Lombardy,2020-02-25,240,68,9,3,300,2300,0,
Lombardy,2020-02-26,258,18,9,0,300,2600,0,
Lombardy,2020-02-27,403,145,14,5,300,2900,0,
Lombardy,2020-02-28,531,128,17,3,300,3200,0,
Lombardy,2020-02-29,615,84,23,6,300,3500,0,
Lombardy,2020-03-01,984,369,24,1,500,4000,0,
Lombardy,2020-03-02,1254,270,38,14,500,4500,0,
Lombardy,2020-03-03,1520,266,55,17,500,5000,0,
Lombardy,2020-03-04,1820,300,73,18,500,5500,0,
Lombardy,2020-03-05,2251,431,98,25,700,6200,0,
Lombardy,2020-03-06,2612,361,135,37,800,7000,0,
Lombardy,2020-03-07,3420,808,154,19,1000,8000,0,
Lombardy,2020-03-08,4189,769,267,113,1000,9000,0,
Lombardy,2020-03-09,5469,1280,333,66,3000,12000,0,
Lombardy,2020-03-10,5791,322,468,135,3000,15000,0,
Lombardy,2020-03-11,7280,1489,617,149,3000,18000,0,
Lombardy,2020-03-12,8725,1445,744,127,3000,21000,0,
Lombardy,2020-03-13,9820,1095,890,146,3000,24000,0,
Lombardy,2020-03-14,11685,1865,966,76,3000,27000,0,
Lombardy,2020-03-15,13272,1587,1218,252,3000,30000,0,
Lombardy,2020-03-16,14649,1377,1420,202,3000,33000,0,
Lombardy,2020-03-17,16220,1571,1640,220,3000,36000,0,
Lombardy,2020-03-18,17713,1493,1959,319,3000,39000,0,
Lombardy,2020-03-19,19884,2171,2168,209,5000,44000,0,
Lombardy,2020-03-20,22264,2380,2549,381,5000,49000,0,
Lombardy,2020-03-21,25515,3251,3095,546,5000,54000,0,
Lombardy,2020-03-22,27206,1691,3456,361,5000,59000,0,
Lombardy,2020-03-23,28761,1555,3776,320,5000,64000,0,
Lombardy,2020-03-24,30703,1942,4178,402,5000,69000,0,
Lombardy,2020-03-25,32346,1643,4474,296,5000,74000,0,
Lombardy,2020-03-26,34889,2543,4861,387,5000,79000,0,
Lombardy,2020-03-27,37298,2409,5402,541,5000,84000,0,
Lombardy,2020-03-28,39415,2117,5944,542,5000,89000,0,
Lombardy,2020-03-29,41007,1592,6360,416,5000,94000,0,
Lombardy,2020-03-30,42161,1154,6818,458,3000,97000,0,
Lombardy,2020-03-31,43208,1047,7199,381,3000,100000,0,
Lombardy,2020-04-01,44773,1565,7593,394,3000,103000,0,
Lombardy,2020-04-02,46065,1292,7960,367,3000,106000,0,
Lombardy,2020-04-03,47520,1455,8311,351,3000,109000,0,
Lombardy,2020-04-04,49118,1598,8656,345,3000,112000,0,
Lombardy,2020-04-05,50455,1337,8905,249,3000,115000,0,
Lombardy,2020-04-06,51534,1079,9202,297,3000,118000,0,
Lombardy,2020-04-07,52325,791,9484,282,3000,121000,0,
Lombardy,2020-04-08,53414,1089,9722,238,3000,124000,0,
Lombardy,2020-04-09,54802,1388,10022,300,3000,127000,0,
Lombardy,2020-04-10,56048,1246,10238,216,3000,130000,0,
Lombardy,2020-04-11,57592,1544,10511,273,3000,133000,0,
Lombardy,2020-04-12,59052,1460,10621,110,5000,138000,0,
Lombardy,2020-04-13,60314,1262,10901,280,5000,143000,0,
Lombardy,2020-04-14,61326,1012,11142,241,5000,148000,0,
Lombardy,2020-04-15,62153,827,11377,235,5000,153000,0,
Lombardy,2020-04-16,63094,941,11608,231,5000,158000,0,
Lombardy,2020-04-17,64135,1041,11851,243,5000,163000,0,
Lombardy,2020-04-18,65381,1246,12050,199,5000,168000,0,
Lombardy,2020-04-19,66236,855,12213,163,2000,170000,0,
Lombardy,2020-04-20,66971,735,12376,163,3333,173333,0,
Lombardy,2020-04-21,67931,960,12579,203,5000,178333,0,
Lombardy,2020-04-22,69092,1161,12740,161,5990,184323,0,
Lombardy,2020-04-23,70165,1073,12940,200,6128,190451,0,
Lombardy,2020-04-24,71256,1091,13106,166,5955,196406,0,
Lombardy,2020-04-25,71969,713,13269,163,6421,202827,0,
Lombardy,2020-04-26,72889,920,13325,56,5644,208471,0,
Lombardy,2020-04-27,73479,590,13449,124,3052,211523,0,
Lombardy,2020-04-28,74348,869,13575,126,5003,216526,0,
Lombardy,2020-04-29,75134,786,13679,104,7426,223952,0,
Lombardy,2020-04-30,75732,598,13772,93,5928,229880,0,
Lombardy,2020-05-01,76469,737,13860,88,6942,236822,0,
Lombardy,2020-05-02,77002,533,14189,329,6561,243383,0,
Lombardy,2020-05-03,77528,526,14231,42,3793,247176,0,
Lombardy,2020-05-04,78105,577,14294,63,4485,251661,0,
Lombardy,2020-05-05,78605,500,14389,95,3631,255292,0,
Lombardy,2020-05-06,79369,764,14611,222,7672,262964,0,
Lombardy,2020-05-07,80089,720,14745,134,0,262964,0,
Lombardy,2020-05-08,80723,634,14839,94,14142,277106,0,
Lombardy,2020-05-09,81225,502,14924,85,5711,282817,0,
Lombardy,2020-05-10,81507,282,14986,62,4513,287330,0,
Lombardy,2020-05-11,81871,364,15054,68,5273,292603,0,
Lombardy,2020-05-12,82904,1033,15116,62,12549,305152,0,
Lombardy,2020-05-13,83298,394,15185,69,5744,310896,0,
Lombardy,2020-05-14,83820,522,15296,111,7393,318289,0,
Lombardy,2020-05-15,84119,299,15411,115,6782,325071,0,
Lombardy,2020-05-16,84518,399,15450,39,8172,333243,0,
Lombardy,2020-05-17,84844,326,15519,69,6921,340164,0,
Lombardy,2020-05-18,85019,175,15543,24,3049,343213,0,
Lombardy,2020-05-19,85481,462,15597,54,10366,353579,0,
Lombardy,2020-05-20,85775,294,15662,65,6343,359922,0,
Lombardy,2020-05-21,86091,316,15727,65,8124,368046,0,
Lombardy,2020-05-22,86384,293,15784,57,10888,378934,0,
Lombardy,2020-05-23,86825,441,15840,56,10714,389648,0,
Lombardy,2020-05-24,87110,285,15840,0,7344,396992,0,
Lombardy,2020-05-25,87258,148,15874,34,3260,400252,0,
Lombardy,2020-05-26,87417,159,15896,22,5398,405650,0,
Lombardy,2020-05-27,87801,384,15954,58,7833,413483,0,
Lombardy,2020-05-28,88183,382,15974,20,9085,422568,0,
Lombardy,2020-05-29,88537,354,16012,38,8295,430863,0,
Lombardy,2020-05-30,88758,221,16079,67,7552,438415,0,
Lombardy,2020-05-31,88968,210,16112,33,7515,445930,0,
Lombardy,2020-06-01,89018,50,16131,19,1944,447874,0,
Lombardy,2020-06-02,89205,187,16143,12,3628,451502,0,
Lombardy,2020-06-03,89442,237,16172,29,7280,458782,0,
Lombardy,2020-06-04,89526,84,16201,29,1876,460658,0,
Lombardy,2020-06-05,89928,402,16222,21,14383,475041,0,
Lombardy,2020-06-06,90070,142,16249,27,5525,480566,0,
Lombardy,2020-06-07,90195,125,16270,21,5276,485842,0,
Lombardy,2020-06-08,90389,194,16302,32,3933,489775,0,
Lombardy,2020-06-09,90581,192,16317,15,6498,496273,0,
Lombardy,2020-06-10,90680,99,16349,32,5774,502047,0,
Lombardy,2020-06-11,90932,252,16374,25,7806,509853,0,
Lombardy,2020-06-12,91204,272,16405,31,9242,519095,0,
Lombardy,2020-06-13,91414,210,16428,23,5679,524774,0,
Lombardy,2020-06-14,91658,244,16449,21,5909,530683,0,
Lombardy,2020-06-15,91917,259,16457,8,4298,534981,0,
Lombardy,2020-06-16,92060,143,16466,9,4623,539604,0,
Lombardy,2020-06-17,92302,242,16480,14,7529,547133,0,
Lombardy,2020-06-18,92518,216,16516,36,7015,554148,0,
Lombardy,2020-06-19,92675,157,16534,18,6228,560376,0,
Lombardy,2020-06-20,92840,165,16557,23,5557,565933,0,
Lombardy,2020-06-21,92968,128,16570,13,4817,570750,0,
Lombardy,2020-06-22,93111,143,16573,3,5231,575981,0,
Lombardy,2020-06-23,93173,62,16579,6,4336,580317,0,
Lombardy,2020-06-24,93261,88,16586,7,6250,586567,0,
Lombardy,2020-06-25,93431,170,16608,22,6230,592797,0,
Lombardy,2020-06-26,93587,156,16624,16,8188,600985,0,
Lombardy,2020-06-27,93664,77,16626,2,5622,606607,0,
Lombardy,2020-06-28,93761,97,16639,13,4880,611487,0,
Lombardy,2020-06-29,93839,78,16640,1,4326,615813,0,
Lombardy,2020-06-30,93901,62,16644,4,4038,619851,0,
Lombardy,2020-07-01,94010,109,16650,6,5346,625197,0,
Lombardy,2020-07-02,94108,98,16671,21,5796,630993,0,
Lombardy,2020-07-03,94223,115,16675,4,5867,636860,0,
Lombardy,2020-07-04,94318,95,16691,16,5902,642762,0,
Lombardy,2020-07-05,94416,98,16697,6,4977,647739,0,
Lombardy,2020-07-06,94527,111,16700,3,3949,651688,0,
Lombardy,2020-07-07,94580,53,16713,13,2149,653837,0,
Lombardy,2020-07-08,94651,71,16725,12,6296,660133,0,
Lombardy,2020-07-09,94770,119,16730,5,7778,667911,0,
Lombardy,2020-07-10,94905,135,16736,6,7102,675013,0,
Lombardy,2020-07-11,94972,67,16740,4,4414,679427,0,
Lombardy,2020-07-12,95049,77,16748,8,6336,685763,0,
Lombardy,2020-07-13,95143,94,16757,9,4154,689917,0,
Lombardy,2020-07-14,95173,30,16760,3,3639,693556,0,
Lombardy,2020-07-15,95236,63,16765,5,6379,699935,0,
Lombardy,2020-07-16,95316,80,16775,10,6505,706440,0,
Lombardy,2020-07-17,95371,55,16778,3,5821,712261,0,
Lombardy,2020-07-18,95459,88,16788,10,5255,717516,0,
Lombardy,2020-07-19,95492,33,16788,0,4124,721640,0,
Lombardy,2020-07-20,95548,56,16796,8,2725,724365,0,
Lombardy,2020-07-21,95582,34,16797,1,3804,728169,0,
Lombardy,2020-07-22,95633,51,16798,1,4981,733150,0,
Lombardy,2020-07-23,95715,82,16801,3,7255,740405,0,
Lombardy,2020-07-24,95768,53,16801,0,5620,746025,0,
Lombardy,2020-07-25,95847,79,16801,0,6175,752200,0,
Lombardy,2020-07-26,95921,74,16801,0,4688,756888,0,
Lombardy,2020-07-27,95955,34,16801,0,2551,759439,0,
Lombardy,2020-07-28,96008,53,16802,1,3967,763406,0,
Lombardy,2020-07-29,96054,46,16802,0,5103,768509,0,
Lombardy,2020-07-30,96142,88,16802,0,7256,775765,0,
Lombardy,2020-07-31,96219,77,16806,4,6382,782147,0,
Lombardy,2020-08-01,96274,55,16807,1,5026,787173,0,
Lombardy,2020-08-02,96312,38,16815,8,4525,791698,0,
Lombardy,2020-08-03,96337,25,16818,3,2581,794279,0,
Lombardy,2020-08-04,96381,44,16819,1,3639,797918,0,
Lombardy,2020-08-05,96519,138,16824,5,5437,803355,0,
Piedmont,2020-01-29,0,0,0,0,0,0,50,
Piedmont,2020-01-30,0,0,0,0,0,0,50,
Piedmont,2020-01-31,0,0,0,0,0,0,50,
Piedmont,2020-02-01,0,0,0,0,0,0,50,
