iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
NLD,Europe,Rotterdam,2020-03-13,20,20,0,0,300,0,0
NLD,Europe,Rotterdam,2020-03-14,24,4,0,0,300,0,0
NLD,Europe,Rotterdam,2020-03-15,25,1,0,0,300,0,0
NLD,Europe,Rotterdam,2020-03-16,30,5,0,0,300,0,0
NLD,Europe,Rotterdam,2020-03-17,41,11,0,0,300,0,0
NLD,Europe,Rotterdam,2020-03-18,58,17,0,0,300,0,0
NLD,Europe,Rotterdam,2020-03-19,81,23,0,0,300,0,0
NLD,Europe,Rotterdam,2020-03-20,114,33,0,0,300,0,0
NLD,Europe,Rotterdam,2020-03-21,121,7,1,1,300,0,0
NLD,Europe,Rotterdam,2020-03-22,140,19,1,0,300,1368,1368
NLD,Europe,Rotterdam,2020-03-23,150,10,1,0,300,2760,1392
NLD,Europe,Rotterdam,2020-03-24,165,15,1,0,300,4188,1428
NLD,Europe,Rotterdam,2020-03-25,188,23,2,1,300,5652,1464
NLD,Europe,Rotterdam,2020-03-26,206,18,3,1,300,7140,1488
NLD,Europe,Rotterdam,2020-03-27,251,45,4,1,300,8664,1524
NLD,Europe,Rotterdam,2020-03-28,310,59,5,1,300,10212,1548
NLD,Europe,Rotterdam,2020-03-29,344,34,6,1,300,11796,1584
NLD,Europe,Rotterdam,2020-03-30,378,34,6,0,300,13416,1620
NLD,Europe,Rotterdam,2020-03-31,405,27,6,0,300,15084,1668
NLD,Europe,Rotterdam,2020-04-01,458,53,7,1,300,16788,1704
NLD,Europe,Rotterdam,2020-04-02,506,48,8,1,300,18528,1740
NLD,Europe,Rotterdam,2020-04-03,554,48,13,5,300,20304,1776
NLD,Europe,Rotterdam,2020-04-04,584,30,15,2,300,22128,1824
NLD,Europe,Rotterdam,2020-04-05,674,90,15,0,300,23988,1860
NLD,Europe,Rotterdam,2020-04-06,757,83,19,4,300,25944,1956
NLD,Europe,Rotterdam,2020-04-07,792,35,24,5,300,27984,2040
NLD,Europe,Rotterdam,2020-04-08,863,71,28,4,300,30120,2136
NLD,Europe,Rotterdam,2020-04-09,947,84,31,3,300,32340,2220
NLD,Europe,Rotterdam,2020-04-10,985,38,36,5,300,34656,2316
NLD,Europe,Rotterdam,2020-04-11,1120,135,49,13,300,37056,2400
NLD,Europe,Rotterdam,2020-04-12,1180,60,55,6,300,39552,2496
NLD,Europe,Rotterdam,2020-04-13,1230,50,61,6,250,42048,2496
NLD,Europe,Rotterdam,2020-04-14,1281,51,63,2,250,44556,2508
NLD,Europe,Rotterdam,2020-04-15,1323,42,74,11,250,47076,2520
NLD,Europe,Rotterdam,2020-04-16,1374,51,93,19,250,49608,2532
NLD,Europe,Rotterdam,2020-04-17,1420,46,103,10,250,52152,2544
NLD,Europe,Rotterdam,2020-04-18,1502,82,117,14,250,54708,2556
NLD,Europe,Rotterdam,2020-04-19,1557,55,119,2,250,57276,2568
NLD,Europe,Rotterdam,2020-04-20,1586,29,121,2,250,59820,2544
NLD,Europe,Rotterdam,2020-04-21,1620,34,131,10,250,62352,2532
NLD,Europe,Rotterdam,2020-04-22,1651,31,143,12,250,64872,2520
NLD,Europe,Rotterdam,2020-04-23,1701,50,157,14,250,67380,2508
NLD,Europe,Rotterdam,2020-04-24,1746,45,168,11,250,69864,2484
NLD,Europe,Rotterdam,2020-04-25,1788,42,173,5,250,72336,2472
NLD,Europe,Rotterdam,2020-04-26,1823,35,176,3,250,74796,2460
NLD,Europe,Rotterdam,2020-04-27,1857,34,183,7,250,77160,2364
NLD,Europe,Rotterdam,2020-04-28,1860,3,185,2,250,79440,2280
NLD,Europe,Rotterdam,2020-04-29,1890,30,204,19,250,81636,2196
NLD,Europe,Rotterdam,2020-04-30,1926,36,214,10,200,83748,2112
NLD,Europe,Rotterdam,2020-05-01,1967,41,220,6,100,85776,2028
NLD,Europe,Rotterdam,2020-05-02,1999,32,228,8,100,87708,1932
NLD,Europe,Rotterdam,2020-05-03,2025,26,232,4,100,89556,1848
NLD,Europe,Rotterdam,2020-05-04,2025,0,235,3,100,91404,1848
NLD,Europe,Rotterdam,2020-05-05,2056,31,241,6,100,93252,1848
NLD,Europe,Rotterdam,2020-05-06,2061,5,242,1,100,95100,1848
NLD,Europe,Rotterdam,2020-05-07,2095,34,254,12,100,96948,1848
NLD,Europe,Rotterdam,2020-05-08,2104,9,274,20,100,98808,1860
NLD,Europe,Rotterdam,2020-05-09,2122,18,278,4,100,100668,1860
NLD,Europe,Rotterdam,2020-05-10,2135,13,279,1,100,102528,1860
NLD,Europe,Rotterdam,2020-05-11,2139,4,279,0,100,104412,1884
NLD,Europe,Rotterdam,2020-05-12,2161,22,290,11,75,106332,1920
NLD,Europe,Rotterdam,2020-05-13,2178,17,293,3,75,108288,1956
NLD,Europe,Rotterdam,2020-05-14,2194,16,295,2,75,110280,1992
NLD,Europe,Rotterdam,2020-05-15,2205,11,299,4,75,112272,1992
NLD,Europe,Rotterdam,2020-05-16,2229,24,307,8,75,114264,1992
NLD,Europe,Rotterdam,2020-05-17,2236,7,307,0,75,116256,1992
NLD,Europe,Rotterdam,2020-05-18,2258,22,307,0,75,118248,1992
NLD,Europe,Rotterdam,2020-05-19,2264,6,309,2,75,120240,1992
NLD,Europe,Rotterdam,2020-05-20,2273,9,315,6,75,122232,1992
NLD,Europe,Rotterdam,2020-05-21,2299,26,323,8,75,124224,1992
NLD,Europe,Rotterdam,2020-05-22,2312,13,323,0,75,126216,1992
NLD,Europe,Rotterdam,2020-05-23,2317,5,327,4,75,128208,1992
NLD,Europe,Rotterdam,2020-05-24,2327,10,327,0,75,130200,1992
NLD,Europe,Rotterdam,2020-05-25,2341,14,327,0,75,132192,1992
NLD,Europe,Rotterdam,2020-05-26,2346,5,327,0,75,134184,1992
NLD,Europe,Rotterdam,2020-05-27,2357,11,331,4,75,136176,1992
NLD,Europe,Rotterdam,2020-05-28,2363,6,332,1,75,138168,1992
NLD,Europe,Rotterdam,2020-05-29,2366,3,334,2,75,140160,1992
NLD,Europe,Rotterdam,2020-05-30,2372,6,335,1,75,142152,1992
NLD,Europe,Rotterdam,2020-05-31,2373,1,335,0,75,144144,1992
NLD,Europe,Rotterdam,2020-06-01,2376,3,335,0,75,146136,1992
NLD,Europe,Rotterdam,2020-06-02,2378,2,335,0,75,148128,1992
NLD,Europe,Rotterdam,2020-06-03,2384,6,336,1,75,150120,1992
NLD,Europe,Rotterdam,2020-06-04,2395,11,336,0,75,152112,1992
NLD,Europe,Rotterdam,2020-06-05,2416,21,336,0,75,154104,1992
NLD,Europe,Rotterdam,2020-06-06,2434,18,338,2,75,156096,1992
NLD,Europe,Rotterdam,2020-06-07,2454,20,338,0,75,158088,1992
NLD,Europe,Rotterdam,2020-06-08,2465,11,338,0,75,160080,1992
NLD,Europe,Rotterdam,2020-06-09,2479,14,338,0,75,162072,1992
NLD,Europe,Rotterdam,2020-06-10,2493,14,340,2,75,164064,1992
NLD,Europe,Rotterdam,2020-06-11,2505,12,340,0,75,166056,1992
NLD,Europe,Rotterdam,2020-06-12,2532,27,340,0,75,168048,1992
NLD,Europe,Rotterdam,2020-06-13,2550,18,341,1,75,170040,1992
NLD,Europe,Rotterdam,2020-06-14,2559,9,341,0,75,172032,1992
NLD,Europe,Rotterdam,2020-06-15,2568,9,341,0,75,174024,1992
NLD,Europe,Rotterdam,2020-06-16,2585,17,343,2,75,176016,1992
NLD,Europe,Rotterdam,2020-06-17,2594,9,343,0,75,178008,1992
NLD,Europe,Rotterdam,2020-06-18,2602,8,344,1,75,180000,1992
NLD,Europe,Rotterdam,2020-06-19,2610,8,344,0,75,181992,1992
