location,date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,imported_cases
Barcelona,2020-02-20,0,0,0,0,0,0,600
Barcelona,2020-02-21,0,0,0,0,0,0,590
Barcelona,2020-02-22,0,0,0,0,0,0,580
Barcelona,2020-02-23,0,0,0,0,0,0,570
Barcelona,2020-02-24,0,0,0,0,0,0,560
Barcelona,2020-02-25,0,0,0,0,0,0,550
Barcelona,2020-02-26,0,0,0,0,0,0,540
Barcelona,2020-02-27,0,0,0,0,0,0,530
Barcelona,2020-02-28,0,0,0,0,0,0,520
Barcelona,2020-02-29,0,0,0,0,0,0,510
Barcelona,2020-03-01,1,1,0,0,9,9,500
Barcelona,2020-03-02,2,3,0,0,18,27,490
Barcelona,2020-03-03,3,6,0,0,9,36,480
Barcelona,2020-03-04,3,9,0,0,9,45,470
Barcelona,2020-03-05,8,17,0,0,14,59,460
Barcelona,2020-03-06,4,21,0,0,26,85,450
Barcelona,2020-03-07,5,26,2,2,38,123,440
Barcelona,2020-03-08,5,31,2,4,16,139,430
Barcelona,2020-03-09,28,59,4,8,30,169,420
Barcelona,2020-03-10,56,115,1,9,106,275,410
Barcelona,2020-03-11,60,175,2,11,175,450,400
Barcelona,2020-03-12,121,296,9,20,279,729,390
Barcelona,2020-03-13,191,487,12,32,567,1296,380
Barcelona,2020-03-14,105,592,28,60,436,1732,370
Barcelona,2020-03-15,129,721,30,90,365,2097,360
Barcelona,2020-03-16,430,1151,26,116,745,2842,350
Barcelona,2020-03-17,404,1555,29,145,744,3586,340
Barcelona,2020-03-18,461,2016,39,184,841,4427,330
Barcelona,2020-03-19,437,2453,31,215,1004,5431,320
Barcelona,2020-03-20,496,2949,37,252,1043,6474,310
Barcelona,2020-03-21,314,3263,42,294,896,7370,300
Barcelona,2020-03-22,266,3529,59,353,630,8000,290
Barcelona,2020-03-23,671,4200,79,432,1071,9071,280
Barcelona,2020-03-24,542,4742,87,519,1212,10283,270
