location,date,new_diagnoses,cum_infections,new_deaths,cum_deaths,new_tests,cum_tests,imported_cases
Detroit,2020-03-01,4,4,0,0,0,0,200
Detroit,2020-03-02,3,7,0,0,0,0,200
Detroit,2020-03-03,0,7,0,0,0,0,200
Detroit,2020-03-04,2,9,0,0,0,0,200
Detroit,2020-03-05,4,13,0,0,0,0,200
Detroit,2020-03-06,10,23,0,0,0,0,200
Detroit,2020-03-07,6,29,0,0,0,0,200
Detroit,2020-03-08,13,42,0,0,0,0,200
Detroit,2020-03-09,22,64,0,0,0,0,200
Detroit,2020-03-10,34,98,0,0,1,1,200
Detroit,2020-03-11,46,144,0,0,0,1,200
Detroit,2020-03-12,41,185,0,0,1,2,200
Detroit,2020-03-13,70,255,0,0,4,6,200
Detroit,2020-03-14,71,326,0,0,1,7,200
Detroit,2020-03-15,85,411,0,0,5,12,200
Detroit,2020-03-16,134,545,1,1,12,24,200
Detroit,2020-03-17,146,691,0,1,109,133,200
Detroit,2020-03-18,172,863,1,2,139,272,200
Detroit,2020-03-19,162,1025,2,4,106,378,200
Detroit,2020-03-20,216,1241,0,4,162,540,200
Detroit,2020-03-21,155,1396,1,5,309,849,200
Detroit,2020-03-22,153,1549,1,6,190,1039,200
Detroit,2020-03-23,226,1775,5,11,237,1276,200
Detroit,2020-03-24,196,1971,4,15,246,1522,200
Detroit,2020-03-25,240,2211,2,17,362,1884,200
Detroit,2020-03-26,215,2426,5,22,466,2350,200
Detroit,2020-03-27,254,2680,6,28,590,2940,200
Detroit,2020-03-28,202,2882,10,38,428,3368,200
Detroit,2020-03-29,168,3050,10,48,318,3686,200
Detroit,2020-03-30,330,3380,19,67,1178,4864,200
Detroit,2020-03-31,264,3644,32,99,847,5711,200
Detroit,2020-04-01,308,3952,29,128,879,6590,200
Detroit,2020-04-02,233,4185,28,156,1042,7632,200
Detroit,2020-04-03,233,4418,30,186,812,8444,200
Detroit,2020-04-04,195,4613,23,209,1299,9743,200
Detroit,2020-04-05,157,4770,22,231,708,10451,200
Detroit,2020-04-06,252,5022,26,257,770,11221,200
Detroit,2020-04-07,235,5257,21,278,734,11955,200
Detroit,2020-04-08,206,5463,31,309,586,12541,200
Detroit,2020-04-09,208,5671,33,342,691,13232,200
Detroit,2020-04-10,197,5868,32,374,627,13859,200
Detroit,2020-04-11,122,5990,33,407,495,14354,200
Detroit,2020-04-12,101,6091,34,441,451,14805,200
Detroit,2020-04-13,136,6227,25,466,573,15378,200
Detroit,2020-04-14,155,6382,21,487,865,16243,200
Detroit,2020-04-15,184,6566,30,517,675,16918,200
Detroit,2020-04-16,157,6723,30,547,683,17601,200
Detroit,2020-04-17,143,6866,23,570,560,18161,200
Detroit,2020-04-18,111,6977,29,599,569,18730,200
Detroit,2020-04-19,78,7055,18,617,385,19115,200
Detroit,2020-04-20,131,7186,22,639,581,19696,200
Detroit,2020-04-21,145,7331,20,659,1013,20709,100
Detroit,2020-04-22,110,7441,22,681,1202,21911,100
Detroit,2020-04-23,152,7593,21,702,1711,23622,100
Detroit,2020-04-24,142,7735,17,719,1048,24670,100
Detroit,2020-04-25,65,7800,22,741,786,25456,100
Detroit,2020-04-26,51,7851,18,759,1487,26943,100
Detroit,2020-04-27,156,8007,21,780,1043,27986,100
Detroit,2020-04-28,101,8108,27,807,1396,29382,100
Detroit,2020-04-29,87,8195,29,836,1575,30957,100
Detroit,2020-04-30,91,8286,24,860,1614,32571,100
Detroit,2020-05-01,82,8368,22,882,1523,34094,100
Detroit,2020-05-02,44,8412,14,896,1358,35452,100
Detroit,2020-05-03,40,8452,13,909,880,36332,100
Detroit,2020-05-04,79,8531,19,928,1056,37388,100
Detroit,2020-05-05,81,8612,10,938,1535,38923,100
Detroit,2020-05-06,84,8696,7,945,1733,40656,100
Detroit,2020-05-07,62,8758,17,962,1764,42420,10
Detroit,2020-05-08,62,8820,7,969,1644,44064,10
Detroit,2020-05-09,34,8854,6,975,1325,45389,10
Detroit,2020-05-10,30,8884,9,984,922,46311,10
Detroit,2020-05-11,49,8933,10,994,1817,48128,10
Detroit,2020-05-12,37,8970,8,1002,1536,49664,10
Detroit,2020-05-13,60,9030,10,1012,1732,51396,10
Detroit,2020-05-14,50,9080,4,1016,2889,54285,10
Detroit,2020-05-15,70,9150,9,1025,1506,55791,10
Detroit,2020-05-16,31,9181,6,1031,1162,56953,10
Detroit,2020-05-17,18,9199,6,1037,899,57852,10
Detroit,2020-05-18,29,9228,3,1040,2080,59932,10
Detroit,2020-05-19,34,9262,10,1050,1857,61789,0
Detroit,2020-05-20,45,9307,9,1059,1650,63439,0
Detroit,2020-05-21,21,9328,7,1066,1595,65034,0
Detroit,2020-05-22,30,9358,7,1073,1766,66800,0
Detroit,2020-05-23,20,9378,8,1081,1357,68157,0
Detroit,2020-05-24,9,9387,3,1084,1101,69258,0
Detroit,2020-05-25,12,9399,5,1089,944,70202,0
Detroit,2020-05-26,36,9435,3,1092,1279,71481,0
Detroit,2020-05-27,35,9470,2,1094,1430,72911,0
Detroit,2020-05-28,20,9490,6,1100,1912,74823,0
Detroit,2020-05-29,31,9521,3,1103,1666,76489,0
Detroit,2020-05-30,10,9531,2,1105,1380,77869,0
Detroit,2020-05-31,13,9544,4,1109,1470,79339,0
Detroit,2020-06-01,15,9559,2,1111,1637,80976,0
Detroit,2020-06-02,24,9583,1,1112,1659,82635,0
Detroit,2020-06-03,19,9602,3,1115,1646,84281,0
Detroit,2020-06-04,24,9626,4,1119,1511,85792,0
Detroit,2020-06-05,21,9647,1,1120,1134,86926,0
