iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
USA,North America,Boston,2020-02-25,1,0,0,0,0,1,0
USA,North America,Boston,2020-02-26,1,0,0,0,0,1,0
USA,North America,Boston,2020-02-27,1,0,0,0,0,1,0
USA,North America,Boston,2020-02-28,1,0,0,0,0,2,1
USA,North America,Boston,2020-02-29,1,0,0,0,0,2,0
USA,North America,Boston,2020-03-01,1,0,0,0,0,2,0
USA,North America,Boston,2020-03-02,1,0,0,0,0,2,0
USA,North America,Boston,2020-03-03,1,0,0,0,0,4,2
USA,North America,Boston,2020-03-04,1,0,0,0,100,7,3
USA,North America,Boston,2020-03-05,1,0,0,0,400,10,3
USA,North America,Boston,2020-03-06,1,0,0,0,300,15,5
USA,North America,Boston,2020-03-07,10,9,0,0,10,26,11
USA,North America,Boston,2020-03-08,10,0,0,0,10,32,6
USA,North America,Boston,2020-03-09,10,0,0,0,10,41,9
USA,North America,Boston,2020-03-10,18,8,0,0,10,54,13
USA,North America,Boston,2020-03-11,19,1,0,0,0,75,21
USA,North America,Boston,2020-03-12,19,0,0,0,0,127,52
USA,North America,Boston,2020-03-13,20,1,0,0,0,242,115
USA,North America,Boston,2020-03-14,20,0,0,0,0,353,111
USA,North America,Boston,2020-03-15,27,7,0,0,0,479,126
USA,North America,Boston,2020-03-16,29,2,0,0,0,743,264
USA,North America,Boston,2020-03-17,33,4,0,0,0,1072,329
USA,North America,Boston,2020-03-18,42,9,0,0,0,1439,367
USA,North America,Boston,2020-03-19,49,7,0,0,0,1796,357
USA,North America,Boston,2020-03-20,63,14,0,0,0,2244,448
USA,North America,Boston,2020-03-21,80,17,0,0,0,2555,311
USA,North America,Boston,2020-03-22,102,22,0,0,0,2788,233
USA,North America,Boston,2020-03-23,116,14,1,1,0,3254,466
USA,North America,Boston,2020-03-24,133,17,2,1,0,3745,491
USA,North America,Boston,2020-03-25,197,64,2,0,0,4249,504
USA,North America,Boston,2020-03-26,284,87,2,0,0,4793,544
USA,North America,Boston,2020-03-27,364,80,2,0,0,5330,537
USA,North America,Boston,2020-03-28,477,113,2,0,0,5674,344
USA,North America,Boston,2020-03-29,614,137,2,0,0,5929,255
USA,North America,Boston,2020-03-30,735,121,2,0,0,6550,621
USA,North America,Boston,2020-03-31,825,90,2,0,0,7194,644
USA,North America,Boston,2020-04-01,938,113,3,1,0,7800,606
USA,North America,Boston,2020-04-02,1057,119,8,5,0,8442,642
USA,North America,Boston,2020-04-03,1233,176,10,2,0,9149,707
USA,North America,Boston,2020-04-04,1366,133,10,0,0,9639,490
USA,North America,Boston,2020-04-05,1618,252,13,3,0,10060,421
USA,North America,Boston,2020-04-06,1877,259,15,2,0,10880,820
USA,North America,Boston,2020-04-07,2035,158,19,4,0,11689,809
USA,North America,Boston,2020-04-08,2287,252,25,6,0,12526,837
USA,North America,Boston,2020-04-09,2502,215,30,5,0,13321,795
USA,North America,Boston,2020-04-10,2812,310,34,4,0,14256,935
USA,North America,Boston,2020-04-11,3138,326,44,10,0,14794,538
USA,North America,Boston,2020-04-12,3676,538,50,6,0,15174,380
USA,North America,Boston,2020-04-13,3916,240,58,8,0,15954,780
USA,North America,Boston,2020-04-14,4086,170,69,11,0,17156,1202
USA,North America,Boston,2020-04-15,4286,200,84,15,0,18380,1224
USA,North America,Boston,2020-04-16,4528,242,105,21,0,19480,1100
USA,North America,Boston,2020-04-17,4763,235,122,17,0,20856,1376
USA,North America,Boston,2020-04-18,5096,333,143,21,0,21602,746
USA,North America,Boston,2020-04-19,5400,304,158,15,0,22169,567
USA,North America,Boston,2020-04-20,5516,116,175,17,0,23506,1337
USA,North America,Boston,2020-04-21,5749,233,187,12,0,24682,1176
USA,North America,Boston,2020-04-22,6010,261,196,9,0,26238,1556
USA,North America,Boston,2020-04-23,6560,550,221,25,0,27627,1389
USA,North America,Boston,2020-04-24,6958,398,232,11,0,29256,1629
USA,North America,Boston,2020-04-25,7617,659,259,27,0,30332,1076
USA,North America,Boston,2020-04-26,7910,293,271,12,0,30990,658
USA,North America,Boston,2020-04-27,8159,249,302,31,0,32482,1492
USA,North America,Boston,2020-04-28,8421,262,315,13,0,34169,1687
USA,North America,Boston,2020-04-29,8613,192,333,18,0,35934,1765
USA,North America,Boston,2020-04-30,9055,442,340,7,0,37798,1864
USA,North America,Boston,2020-05-01,9271,216,357,17,0,39756,1958
USA,North America,Boston,2020-05-02,9590,319,410,53,0,40725,969
USA,North America,Boston,2020-05-03,9794,204,411,1,0,41403,678
USA,North America,Boston,2020-05-04,9929,135,426,15,0,43141,1738
USA,North America,Boston,2020-05-05,10077,148,442,16,0,44939,1798
USA,North America,Boston,2020-05-06,10241,164,449,7,0,46819,1880
USA,North America,Boston,2020-05-07,10433,192,473,24,0,48734,1915
USA,North America,Boston,2020-05-08,10598,165,486,13,0,50604,1870
USA,North America,Boston,2020-05-09,10761,163,496,10,0,51398,794
USA,North America,Boston,2020-05-10,10953,192,516,20,0,51831,433
USA,North America,Boston,2020-05-11,11047,94,525,9,0,53515,1684
USA,North America,Boston,2020-05-12,11106,59,533,8,0,55385,1870
USA,North America,Boston,2020-05-13,11168,62,533,0,0,57324,1939
USA,North America,Boston,2020-05-14,11284,116,542,9,0,59181,1857
USA,North America,Boston,2020-05-15,11395,111,551,9,0,61077,1896
USA,North America,Boston,2020-05-16,11527,132,558,7,0,62020,943
USA,North America,Boston,2020-05-17,11767,240,570,12,0,62594,574
