iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests,,,,,,,
USA,North America,NYC,2020-03-01,1,1,0,0,0,20,20,,,,,,,
USA,North America,NYC,2020-03-02,1,0,0,0,0,30,10,,,,,,,
USA,North America,NYC,2020-03-03,2,1,0,0,0,48,18,,,,,,,
USA,North America,NYC,2020-03-04,2,0,0,0,0,78,30,,,,,,,
USA,North America,NYC,2020-03-05,4,2,0,0,0,126,47,,,,,,,
USA,North America,NYC,2020-03-06,5,1,0,0,0,193,67,,,,,,,
USA,North America,NYC,2020-03-07,12,7,0,0,0,280,87,,,,,,,
USA,North America,NYC,2020-03-08,14,2,0,0,0,388,107,,,,,,,
USA,North America,NYC,2020-03-09,20,6,0,0,0,516,129,,,,,,,
USA,North America,NYC,2020-03-10,37,17,0,0,0,671,155,,,,,,,
USA,North America,NYC,2020-03-11,52,15,0,0,0,863,192,,,,,,,
USA,North America,NYC,2020-03-12,96,44,0,0,0,1115,252,,,,,,,
USA,North America,NYC,2020-03-13,155,59,0,0,0,1462,348,,,,,,,
USA,North America,NYC,2020-03-14,269,114,1,1,0,1957,495,,,,,,,
USA,North America,NYC,2020-03-15,330,61,5,4,0,2659,702,,,,,,,
USA,North America,NYC,2020-03-16,464,134,7,2,0,3616,956,,,,,,,
USA,North America,NYC,2020-03-17,646,182,11,4,0,4832,1216,,,,,,,
USA,North America,NYC,2020-03-18,1344,698,25,14,0,6251,1419,,,,,,,
USA,North America,NYC,2020-03-19,2477,1133,31,6,0,7761,1510,,,,,,,
USA,North America,NYC,2020-03-20,4419,1942,54,23,0,9235,1474,,,,,,,
USA,North America,NYC,2020-03-21,6226,1807,75,21,0,10575,1340,,,,,,,
USA,North America,NYC,2020-03-22,9065,2839,119,44,0,11734,1159,,,,,,,
USA,North America,NYC,2020-03-23,12329,3264,155,36,0,12713,979,,,,,,,
USA,North America,NYC,2020-03-24,14943,2614,230,75,0,13540,827,,,,,,,
USA,North America,NYC,2020-03-25,20061,5118,330,100,0,14256,715,,,,,,,
USA,North America,NYC,2020-03-26,23182,3121,435,105,0,14894,639,,,,,,,
USA,North America,NYC,2020-03-27,25509,2327,560,125,0,15481,586,,,,,,,
USA,North America,NYC,2020-03-28,30919,5410,825,265,0,16028,547,,,,,,,
USA,North America,NYC,2020-03-29,33983,3064,991,166,0,16542,514,,,,,,,
USA,North America,NYC,2020-03-30,38375,4392,1202,211,0,17029,487,,,,,,,
USA,North America,NYC,2020-03-31,43518,5143,1475,273,0,17494,465,,,,,,,
USA,North America,NYC,2020-04-01,47914,4396,1848,373,0,17946,452,,,,,,,
USA,North America,NYC,2020-04-02,52400,4486,2152,304,0,18393,447,,,,,,,
