iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
USA,North America,Mobile,2020-03-08,0,0,0,0,0,228,228
USA,North America,Mobile,2020-03-09,0,0,0,0,0,456,228
USA,North America,Mobile,2020-03-10,0,0,0,0,0,685,228
USA,North America,Mobile,2020-03-11,0,0,0,0,0,913,228
USA,North America,Mobile,2020-03-12,0,0,0,0,0,1142,228
USA,North America,Mobile,2020-03-13,0,0,0,0,0,1370,228
USA,North America,Mobile,2020-03-14,0,0,0,0,0,1599,228
USA,North America,Mobile,2020-03-15,0,0,0,0,0,3542,1943
USA,North America,Mobile,2020-03-16,0,0,0,0,0,5485,1943
USA,North America,Mobile,2020-03-17,0,0,0,0,0,7428,1943
USA,North America,Mobile,2020-03-18,0,0,0,0,0,9371,1943
USA,North America,Mobile,2020-03-19,1,1,0,0,10,11314,1943
USA,North America,Mobile,2020-03-20,2,1,0,0,10,13257,1943
USA,North America,Mobile,2020-03-21,2,0,0,0,10,15201,1943
USA,North America,Mobile,2020-03-22,2,0,0,0,10,17339,2138
USA,North America,Mobile,2020-03-23,2,0,0,0,10,19478,2138
USA,North America,Mobile,2020-03-24,6,4,0,0,10,21617,2138
USA,North America,Mobile,2020-03-25,10,4,0,0,10,23755,2138
USA,North America,Mobile,2020-03-26,19,9,0,0,10,25894,2138
USA,North America,Mobile,2020-03-27,23,4,0,0,10,28033,2138
USA,North America,Mobile,2020-03-28,34,11,0,0,10,30172,2138
USA,North America,Mobile,2020-03-29,41,7,0,0,10,31991,1819
USA,North America,Mobile,2020-03-30,45,4,1,1,10,33811,1819
USA,North America,Mobile,2020-03-31,53,8,1,0,10,35631,1819
USA,North America,Mobile,2020-04-01,57,4,2,1,10,37450,1819
USA,North America,Mobile,2020-04-02,68,11,3,1,10,39270,1819
USA,North America,Mobile,2020-04-03,103,35,4,1,20,41090,1819
USA,North America,Mobile,2020-04-04,116,13,5,1,10,42910,1819
USA,North America,Mobile,2020-04-05,123,7,5,0,0,45130,2220
USA,North America,Mobile,2020-04-06,145,22,5,0,0,47350,2220
USA,North America,Mobile,2020-04-07,212,67,6,1,0,49571,2220
USA,North America,Mobile,2020-04-08,274,62,7,1,0,51791,2220
USA,North America,Mobile,2020-04-09,343,69,7,0,0,54012,2220
USA,North America,Mobile,2020-04-10,372,29,9,2,0,56232,2220
USA,North America,Mobile,2020-04-11,414,42,9,0,0,58453,2220
USA,North America,Mobile,2020-04-12,437,23,9,0,0,60510,2057
USA,North America,Mobile,2020-04-13,477,40,9,0,0,62567,2057
USA,North America,Mobile,2020-04-14,492,15,12,3,0,64625,2057
USA,North America,Mobile,2020-04-15,544,52,12,0,0,66682,2057
USA,North America,Mobile,2020-04-16,576,32,12,0,0,68740,2057
USA,North America,Mobile,2020-04-17,609,33,16,4,0,70797,2057
USA,North America,Mobile,2020-04-18,612,3,18,2,0,72855,2057
USA,North America,Mobile,2020-04-19,639,27,18,0,0,75372,2517
USA,North America,Mobile,2020-04-20,661,22,18,0,0,77889,2517
USA,North America,Mobile,2020-04-21,714,53,28,10,0,80406,2517
USA,North America,Mobile,2020-04-22,753,39,33,5,0,82923,2517
USA,North America,Mobile,2020-04-23,788,35,38,5,0,85440,2517
USA,North America,Mobile,2020-04-24,824,36,40,2,0,87957,2517
USA,North America,Mobile,2020-04-25,877,53,40,0,0,90474,2517
USA,North America,Mobile,2020-04-26,902,25,41,1,0,93625,3151
USA,North America,Mobile,2020-04-27,947,45,43,2,0,96777,3151
USA,North America,Mobile,2020-04-28,986,39,46,3,0,99928,3151
USA,North America,Mobile,2020-04-29,1034,48,53,7,0,103080,3151
USA,North America,Mobile,2020-04-30,1068,34,55,2,0,106231,3151
USA,North America,Mobile,2020-05-01,1133,65,61,6,0,109383,3151
USA,North America,Mobile,2020-05-02,1159,26,61,0,0,112535,3151
USA,North America,Mobile,2020-05-03,1184,25,62,1,0,116421,3886
USA,North America,Mobile,2020-05-04,1211,27,66,4,0,120308,3886
USA,North America,Mobile,2020-05-05,1252,41,71,5,0,124195,3886
USA,North America,Mobile,2020-05-06,1305,53,76,5,0,128082,3886
USA,North America,Mobile,2020-05-07,1349,44,78,2,0,131969,3886
USA,North America,Mobile,2020-05-08,1400,51,81,3,0,135856,3886
USA,North America,Mobile,2020-05-09,1446,46,83,2,0,139743,3886
USA,North America,Mobile,2020-05-10,1457,11,85,2,0,144497,4754
USA,North America,Mobile,2020-05-11,1473,16,90,5,0,149252,4754
USA,North America,Mobile,2020-05-12,1504,31,95,5,0,154007,4754
USA,North America,Mobile,2020-05-13,1547,43,96,1,0,158762,4754
USA,North America,Mobile,2020-05-14,1605,58,98,2,0,163517,4754
USA,North America,Mobile,2020-05-15,1648,43,100,2,0,168272,4754
