location,date,cum_infections,new_diagnoses,cum_deaths,new_deaths,new_tests,cum_tests,imported_cases,
SP,2020-02-27,1,1,0,0,0,0,150,56.4
SP,2020-02-28,21,20,0,0,56,56,149,-0.806451613
SP,2020-02-29,41,20,0,0,56,112,148,
SP,2020-03-01,61,20,0,0,56,168,147,
SP,2020-03-02,81,20,0,0,56,224,146,
SP,2020-03-03,101,20,0,0,56,280,145,
SP,2020-03-04,121,20,0,0,56,336,144,
SP,2020-03-05,141,20,0,0,56,392,143,
SP,2020-03-06,161,20,0,0,56,448,142,
SP,2020-03-07,181,20,0,0,56,504,141,
SP,2020-03-08,201,20,0,0,56,560,140,
SP,2020-03-09,221,20,0,0,56,616,139,
SP,2020-03-10,241,20,0,0,56,672,138,
SP,2020-03-11,261,20,0,0,56,728,137,
SP,2020-03-12,281,20,0,0,56,784,136,
SP,2020-03-13,301,20,0,0,56,840,135,
SP,2020-03-14,321,20,0,0,56,896,134,
SP,2020-03-15,341,20,0,0,56,952,133,
SP,2020-03-16,361,20,0,0,56,1008,132,
SP,2020-03-17,381,20,1,1,56,1064,131,
SP,2020-03-18,401,20,5,4,56,1120,130,
SP,2020-03-19,421,20,9,4,56,1176,129,
SP,2020-03-20,441,20,13,4,56,1232,128,
SP,2020-03-21,461,20,17,4,56,1288,127,
SP,2020-03-22,481,20,21,4,56,1344,126,
SP,2020-03-23,501,20,25,4,56,1400,125,
SP,2020-03-24,521,20,29,4,56,1456,124,
SP,2020-03-25,541,20,33,4,56,1512,123,
SP,2020-03-26,561,20,37,4,56,1568,122,
SP,2020-03-27,574,574,38,1,1000,1624,121,
SP,2020-03-28,1149,575,76,38,1000,1692,120,
SP,2020-03-29,1183,34,89,13,1000,3384,119,
SP,2020-03-30,1233,50,103,14,1000,5076,118,
SP,2020-03-31,1885,652,121,18,1000,6768,117,
SP,2020-04-01,2418,533,144,23,1000,8460,116,
SP,2020-04-02,2815,397,164,20,1000,10152,115,
SP,2020-04-03,3202,387,186,22,1000,11844,114,
SP,2020-04-04,3496,294,212,26,1000,13536,113,
SP,2020-04-05,3612,116,220,8,1000,15228,112,
SP,2020-04-06,3754,142,244,24,1000,16920,111,
SP,2020-04-07,4258,504,296,52,1000,18612,110,
SP,2020-04-08,4946,688,339,43,1000,20304,109,
SP,2020-04-09,5477,531,384,45,1000,21996,108,
SP,2020-04-10,5982,505,409,25,1000,23688,107,
SP,2020-04-11,6131,149,422,13,1000,25380,106,
SP,2020-04-12,6352,221,445,23,1000,27072,105,
SP,2020-04-13,6418,66,456,11,1000,28764,104,
SP,2020-04-14,6705,287,512,56,2000,30456,103,
SP,2020-04-15,7764,1059,558,46,2000,32148,102,
SP,2020-04-16,7908,144,603,45,2000,33840,101,
SP,2020-04-17,8744,836,643,40,2000,35532,100,
SP,2020-04-18,9428,684,686,43,2000,37224,99,
SP,2020-04-19,9668,240,700,14,2000,38916,98,
SP,2020-04-20,9815,147,715,15,2000,40608,97,
SP,2020-04-21,10342,527,753,38,2000,42300,96,
SP,2020-04-22,10691,349,778,25,2000,43992,95,
SP,2020-04-23,11225,534,912,134,2000,45684,94,
SP,2020-04-24,11800,575,1010,98,2000,47376,93,
SP,2020-04-25,13098,1298,1099,89,2000,49068,92,
SP,2020-04-26,13513,415,1114,15,2000,50760,91,
SP,2020-04-27,13989,476,1172,58,2000,52452,90,
SP,2020-04-28,15397,1408,1321,149,2000,54144,89,
SP,2020-04-29,16638,1241,1439,118,2000,55836,88,
SP,2020-04-30,18149,1511,1522,83,2000,57528,87,
SP,2020-05-01,19087,938,1607,85,2000,59220,86,
SP,2020-05-02,19494,407,1661,54,2000,60912,85,
SP,2020-05-03,19822,328,1673,12,2000,62604,84,
SP,2020-05-04,20073,251,1683,10,3000,64296,83,
SP,2020-05-05,21140,1067,1801,118,3000,65988,82,
