location,date,cum_infections,cum_deaths,cum_tests,new_diagnoses,new_deaths,new_tests,imported_cases
IL,2020-03-10,20,0,326,0,0,0,0
IL,2020-03-11,25,0,367,5,0,41,0
IL,2020-03-12,32,0,418,7,0,51,0
IL,2020-03-13,46,0,444,14,0,26,0
IL,2020-03-14,64,0,708,18,0,264,0
IL,2020-03-15,93,0,932,29,0,224,0
IL,2020-03-16,105,0,1143,12,0,211,0
IL,2020-03-17,160,1,1500,55,1,357,0
IL,2020-03-18,288,3,2052,128,2,552,0
IL,2020-03-19,422,4,3151,134,1,1099,0
IL,2020-03-20,585,5,4286,163,1,1135,0
IL,2020-03-21,753,6,6247,168,1,1961,0
IL,2020-03-22,1046,9,8374,293,3,2127,0
IL,2020-03-23,1283,12,9868,237,3,1494,0
IL,2020-03-24,1535,16,11485,252,4,1617,0
IL,2020-03-25,1865,19,14209,330,3,2724,0
IL,2020-03-26,2538,26,16631,673,7,2422,0
IL,2020-03-27,3026,34,21542,488,8,4911,0
IL,2020-03-28,3491,47,25429,465,13,3887,0
IL,2020-03-29,4596,65,27762,1105,18,2333,0
IL,2020-03-30,5056,72,30446,460,7,2684,0
IL,2020-03-31,5994,99,35225,938,27,4779,0
IL,2020-04-01,6980,141,40383,986,42,5158,0
IL,2020-04-02,7695,157,43656,715,16,3273,0
IL,2020-04-03,8904,210,48048,1209,53,4392,0
IL,2020-04-04,10357,243,53581,1453,33,5533,0
IL,2020-04-05,11256,274,58983,899,31,5402,0
IL,2020-04-06,12262,307,62952,1006,33,3969,0
IL,2020-04-07,13549,380,68732,1287,73,5780,0
IL,2020-04-08,15078,462,75066,1529,82,6334,0
IL,2020-04-09,16422,528,80857,1344,66,5791,0
IL,2020-04-10,17887,596,87527,1465,68,6670,0
IL,2020-04-11,19180,677,92779,1293,81,5252,0
IL,2020-04-12,20852,720,100735,1672,43,7956,0
IL,2020-04-13,22025,794,105768,1173,74,5033,0
IL,2020-04-14,23247,868,110616,1222,74,4848,0
IL,2020-04-15,24593,948,116929,1346,80,6313,0
IL,2020-04-16,25733,1072,122589,1140,124,5660,0
IL,2020-04-17,27575,1134,130163,1842,62,7574,0
IL,2020-04-18,29160,1259,137404,1585,125,7241,0
IL,2020-04-19,30357,1290,143318,1197,31,5914,0
IL,2020-04-20,31508,1349,148358,1151,59,5040,0
IL,2020-04-21,33059,1468,154997,1551,119,6639,0
IL,2020-04-22,35108,1565,164346,2049,97,9349,0
IL,2020-04-23,36934,1688,173316,1826,123,8970,0
IL,2020-04-24,39658,1795,186219,2724,107,12903,0
IL,2020-04-25,41777,1874,201617,2119,79,15398,0
IL,2020-04-26,43904,1933,214952,2127,59,13335,0
IL,2020-04-27,45883,1983,227628,1979,50,12676,0
IL,2020-04-28,48102,2125,242189,2219,142,14561,0
IL,2020-04-29,50355,2215,256667,2253,90,14478,0
IL,2020-04-30,52910,2355,269867,2555,140,13200,0
IL,2020-05-01,56055,2457,284688,3145,102,14821,0
IL,2020-05-02,58505,2559,299896,2450,102,15208,0
IL,2020-05-03,61499,2618,319313,2994,59,19417,0
IL,2020-05-04,63840,2662,333147,2341,44,13834,0
IL,2020-05-05,65962,2838,346286,2122,176,13139,0
IL,2020-05-06,68232,2974,361260,2270,136,14974,0
IL,2020-05-07,70873,3111,379043,2641,137,17783,0
IL,2020-05-08,73760,3241,399714,2887,130,20671,0
IL,2020-05-09,76085,3349,416331,2325,108,16617,0
IL,2020-05-10,77741,3406,429984,1656,57,13653,0
IL,2020-05-11,79007,3459,442425,1266,53,12441,0
IL,2020-05-12,83021,3601,471691,4014,142,29266,0
IL,2020-05-13,84698,3792,489359,1677,191,17668,0
IL,2020-05-14,87937,3928,512037,3239,136,22678,0
IL,2020-05-15,90369,4058,538602,2432,130,26565,0
IL,2020-05-16,92457,4129,561649,2088,71,23047,0
IL,2020-05-17,94191,4177,581944,1734,48,20295,0
IL,2020-05-18,96485,4234,603241,2294,57,21297,0
IL,2020-05-19,98030,4379,621684,1545,145,18443,0
IL,2020-05-20,100418,4525,642713,2388,146,21029,0
IL,2020-05-21,102686,4607,672020,2268,82,29307,0
IL,2020-05-22,105444,4715,697133,2758,108,25113,0
IL,2020-05-23,107796,4790,722247,2352,75,25114,0
IL,2020-05-24,110304,4856,747921,2508,66,25674,0
IL,2020-05-25,112017,4884,769564,1713,28,21643,0
IL,2020-05-26,113195,4923,786794,1178,39,17230,0
IL,2020-05-27,114306,5083,803973,1111,160,17179,0
IL,2020-05-28,115833,5186,829966,1527,103,25993,0
IL,2020-05-29,117455,5270,855479,1622,84,25513,0
IL,2020-05-30,118917,5330,877105,1462,60,21626,0
IL,2020-05-31,120260,5390,898259,1343,60,21154,0
IL,2020-06-01,121234,5412,918273,974,22,20014,0
IL,2020-06-02,122848,5525,934704,1614,113,16431,0
IL,2020-06-03,123830,5621,959175,982,96,24471,0
IL,2020-06-04,124759,5736,982016,929,115,22841,0
IL,2020-06-05,125915,5795,1000919,1156,59,18903,0
IL,2020-06-06,126890,5864,1022074,975,69,21155,0
IL,2020-06-07,127757,5904,1042774,867,40,20700,0
IL,2020-06-08,128415,5924,1058873,658,20,16099,0
IL,2020-06-09,129212,6018,1079182,797,94,20309,0
IL,2020-06-10,129837,6095,1100002,625,77,20820,0
IL,2020-06-11,130603,6185,1122327,766,90,22325,0
IL,2020-06-12,131198,6260,1147101,595,75,24774,0
IL,2020-06-13,131871,6289,1168945,673,29,21844,0
IL,2020-06-14,132543,6308,1190985,672,19,22040,0
IL,2020-06-15,133016,6326,1209612,473,18,18627,0
