iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests
USA,North America,Minesota,07-March-2020,1,1,0,0,100,,,,0,0
USA,North America,Minesota,08-March-2020,1,0,0,0,100,,,,0,0
USA,North America,Minesota,09-March-2020,2,1,0,0,100,,,,0,0
USA,North America,Minesota,10-March-2020,2,0,0,0,100,,,,0,0
USA,North America,Minesota,11-March-2020,3,1,0,0,100,,,,0,0
USA,North America,Minesota,12-March-2020,5,2,0,0,100,,,,0,0
USA,North America,Minesota,13-March-2020,9,4,0,0,100,,,,0,0
USA,North America,Minesota,14-March-2020,14,5,0,0,100,,,,0,0
USA,North America,Minesota,15-March-2020,21,7,0,0,100,,,,0,0
USA,North America,Minesota,16-March-2020,35,14,0,0,100,,,,0,0
USA,North America,Minesota,17-March-2020,54,19,0,0,100,,,,0,0
USA,North America,Minesota,18-March-2020,60,6,0,0,100,,,,0,0
USA,North America,Minesota,19-March-2020,77,17,0,0,100,,,,0,0
USA,North America,Minesota,20-March-2020,89,12,0,0,100,,,,0,0
USA,North America,Minesota,21-March-2020,115,26,0,0,100,,,,0,0
USA,North America,Minesota,22-March-2020,137,22,1,1,100,,,,0,0
USA,North America,Minesota,23-March-2020,169,32,1,0,100,,,,0,0
USA,North America,Minesota,24-March-2020,235,66,1,0,100,,,,0,0
USA,North America,Minesota,25-March-2020,262,27,1,0,100,,,,0,0
USA,North America,Minesota,26-March-2020,287,25,1,0,100,,,,0,0
USA,North America,Minesota,27-March-2020,346,59,2,1,100,,,,0,0
USA,North America,Minesota,28-March-2020,398,52,4,2,100,,,,0,0
USA,North America,Minesota,29-March-2020,441,43,5,1,100,,,,0,0
USA,North America,Minesota,30-March-2020,503,62,9,4,100,,,,1525,1525
USA,North America,Minesota,31-March-2020,576,73,10,1,100,,,,2734,1209
USA,North America,Minesota,01-April-2020,629,53,12,2,100,,,,3622,888
USA,North America,Minesota,02-April-2020,689,60,17,5,100,,,,4962,1340
USA,North America,Minesota,03-April-2020,742,53,18,1,100,,,,5964,1002
USA,North America,Minesota,04-April-2020,789,47,22,4,100,,,,7947,1983
