iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,imported_cases,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
PER,South America,Ancash,2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-05,0,0,0,0,0,0,0,0,1,1,0.009225092,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-06,0,0,0,0,0,0,0,0,1,0,0.009225092,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-07,0,0,0,0,0,0,0,0,2,0,0.018450185,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-08,0,0,0,0,0,0,0,0,2,0,0.018450185,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-09,0,0,0,0,0,0,0,0,2,0,0.018450185,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-10,0,0,0,0,0,0,0,0,3,0,0.027675277,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-11,0,0,0,0,0,0,0,0,5,3,0.046125461,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-12,0,0,0,0,0,0,0,0,7,1,0.064575646,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-13,0,0,0,0,0,0,0,0,9,2,0.08302583,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-14,0,0,0,0,0,0,0,0,12,2,0.110701107,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-15,1,1,0,0,0.922509225,0.922509225,0,0,14,2,0.129151292,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-16,1,0,0,0,0.922509225,0,0,0,18,4,0.166051661,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-17,1,0,0,0,0.922509225,0,0,0,21,4,0.193726937,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-18,2,1,0,0,1.84501845,0.922509225,0,0,23,2,0.212177122,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-19,3,1,0,0,2.767527675,0.922509225,0,0,29,6,0.267527675,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-20,4,1,0,0,3.6900369,0.922509225,0,0,33,3,0.304428044,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-21,4,0,0,0,3.6900369,0,0,0,38,5,0.350553506,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-22,4,0,0,0,3.6900369,0,0,0,47,9,0.433579336,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-23,4,0,0,0,3.6900369,0,0,0,51,4,0.470479705,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-24,4,0,0,0,3.6900369,0,0,0,53,3,0.488929889,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-25,5,1,0,0,4.612546125,0.922509225,0,0,61,8,0.562730627,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-26,6,1,0,0,5.535055351,0.922509225,0,0,70,9,0.645756458,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-27,6,0,0,0,5.535055351,0,0,0,76,6,0.701107011,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-28,6,0,0,0,5.535055351,0,0,0,83,6,0.765682657,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-29,6,0,1,1,5.535055351,0,0.922509225,0.922509225,96,13,0.885608856,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-30,11,5,1,0,10.14760148,4.612546125,0.922509225,0,102,6,0.94095941,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-03-31,11,0,1,0,10.14760148,0,0.922509225,0,110,8,1.014760148,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-01,15,4,1,0,13.83763838,3.6900369,0.922509225,0,118,9,1.088560886,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-02,15,0,1,0,13.83763838,0,0.922509225,0,125,7,1.153136531,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-03,18,3,1,0,16.60516605,2.767527675,0.922509225,0,132,6,1.217712177,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-04,18,0,1,0,16.60516605,0,0.922509225,0,135,4,1.245387454,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-05,23,5,1,0,21.21771218,4.612546125,0.922509225,0,147,12,1.356088561,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-06,27,4,1,0,24.90774908,3.6900369,0.922509225,0,155,8,1.429889299,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-07,36,9,1,0,33.2103321,8.302583026,0.922509225,0,164,9,1.512915129,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-08,50,14,4,3,46.12546125,12.91512915,3.6900369,2.767527675,300,137,2.767527675,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-09,57,7,4,0,52.58302583,6.457564576,3.6900369,0,368,67,3.394833948,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-10,67,10,4,0,61.80811808,9.225092251,3.6900369,0,425,57,3.920664207,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-11,88,21,5,1,81.18081181,19.37269373,4.612546125,0.922509225,494,69,4.557195572,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-12,102,14,5,0,94.09594096,12.91512915,4.612546125,0,576,82,5.313653137,0,,,tests performed,,1084000,,,,,,,,,,,,
PER,South America,Ancash,2020-04-13,110,8,5,0,101.4760148,7.380073801,4.612546125,0,656,81,6.051660517,0,,,tests performed,,1084000,,,,,,,,,,,,
