location,date,cum_infections,cum_deaths,cum_tests,new_diagnoses,new_deaths,new_tests,imported_cases
EC,2020-03-05,0,0,0,0,0,0,0
EC,2020-03-07,0,0,0,0,0,0,0
EC,2020-03-08,0,0,0,0,0,0,0
EC,2020-03-09,0,0,0,0,0,0,0
EC,2020-03-11,0,0,0,0,0,0,0
EC,2020-03-12,0,0,0,0,0,0,0
EC,2020-03-13,0,0,0,0,0,0,0
EC,2020-03-14,0,0,0,0,0,0,0
EC,2020-03-15,0,0,0,0,0,0,0
EC,2020-03-16,0,0,0,0,0,0,0
EC,2020-03-17,0,0,0,0,0,0,0
EC,2020-03-18,0,0,0,0,0,0,0
EC,2020-03-19,0,0,0,0,0,0,0
EC,2020-03-20,0,0,0,0,0,0,0
EC,2020-03-21,1,0,0,1,0,0,0
EC,2020-03-22,2,0,0,1,0,0,0
EC,2020-03-23,2,0,0,0,0,0,0
EC,2020-03-24,2,0,0,0,0,0,0
EC,2020-03-25,2,0,0,0,0,0,0
EC,2020-03-26,5,0,0,3,0,0,0
EC,2020-03-27,5,0,0,0,0,0,0
EC,2020-03-28,10,0,0,5,0,0,0
EC,2020-03-29,12,0,0,2,0,0,0
EC,2020-03-30,12,0,0,0,0,0,0
EC,2020-03-31,12,0,0,0,0,0,0
EC,2020-04-01,15,0,0,3,0,0,0
EC,2020-04-02,17,0,0,2,0,0,0
EC,2020-04-03,21,0,0,4,0,0,0
EC,2020-04-04,25,0,0,4,0,0,0
EC,2020-04-05,31,0,0,6,0,0,0
EC,2020-04-06,32,0,0,1,0,0,0
EC,2020-04-07,32,0,0,0,0,0,0
EC,2020-04-08,45,0,0,13,0,0,0
EC,2020-04-09,61,0,0,16,0,0,0
EC,2020-04-10,68,0,0,7,0,0,0
EC,2020-04-11,69,0,0,1,0,0,0
EC,2020-04-12,88,0,0,19,0,0,0
EC,2020-04-13,104,0,0,16,0,0,0
EC,2020-04-14,174,0,0,70,0,0,0
EC,2020-04-15,199,0,0,25,0,0,0
EC,2020-04-16,220,4,0,21,4,0,0
EC,2020-04-17,246,4,0,26,0,0,0
EC,2020-04-18,270,4,0,24,0,0,0
EC,2020-04-19,293,4,0,23,0,0,0
EC,2020-04-20,310,5,0,17,1,0,0
EC,2020-04-21,345,5,0,35,0,0,0
EC,2020-04-22,377,5,0,32,0,0,0
EC,2020-04-23,417,6,0,40,1,0,0
EC,2020-04-24,480,6,0,63,0,0,0
EC,2020-04-25,488,10,0,8,4,0,0
EC,2020-04-26,535,10,0,47,0,0,0
EC,2020-04-27,588,10,14054,53,0,14054,0
EC,2020-04-28,616,10,14054,28,0,0,0
EC,2020-04-29,630,11,14054,14,1,0,0
EC,2020-04-30,647,11,14054,17,0,0,0
EC,2020-05-01,691,11,14054,44,0,0,0
EC,2020-05-02,732,13,14054,41,2,0,0
EC,2020-05-03,774,17,24835,42,4,10781,0
EC,2020-05-04,814,17,24835,40,0,0,0
EC,2020-05-05,838,18,24835,24,1,0,0
EC,2020-05-06,849,18,24835,11,0,0,0
EC,2020-05-07,929,18,24835,80,0,0,0
EC,2020-05-08,989,21,24835,60,3,0,0
EC,2020-05-09,1078,21,34032,89,0,9197,0
EC,2020-05-10,1218,22,34032,140,1,0,0
EC,2020-05-11,1356,24,34032,138,2,0,0
EC,2020-05-12,1504,24,34032,148,0,0,0
EC,2020-05-13,1534,24,38122,30,0,4090,0
EC,2020-05-14,1569,31,38122,35,7,0,0
EC,2020-05-15,1662,31,38122,93,0,0,0
EC,2020-05-16,1812,32,38122,150,1,0,0
EC,2020-05-17,1936,35,38122,124,3,0,0
EC,2020-05-18,2052,39,38122,116,4,0,0
EC,2020-05-19,2135,41,38122,83,2,0,0
EC,2020-05-20,2215,45,51888,80,4,13766,0
EC,2020-05-21,2324,50,51888,109,5,0,0
EC,2020-05-22,2459,53,51888,135,3,0,0
EC,2020-05-23,2569,58,51888,110,5,0,0
EC,2020-05-24,2690,59,51888,121,1,0,0
EC,2020-05-25,2748,61,51888,58,2,0,0
EC,2020-05-26,2864,70,51888,116,9,0,0
EC,2020-05-27,3047,70,51888,183,0,0,0
EC,2020-05-28,3306,77,66013,259,7,14125,0
EC,2020-05-29,3583,80,66013,277,3,0,0
EC,2020-05-30,3759,82,66013,176,2,0,0
EC,2020-05-31,3927,82,66013,168,0,0,0
EC,2020-06-01,4111,82,66013,184,0,0,0
EC,2020-06-02,4324,88,66013,213,6,0,0
EC,2020-06-03,4526,95,66013,202,7,0,0
EC,2020-06-04,4936,95,66013,410,0,0,0
EC,2020-06-05,5240,95,66013,304,0,0,0
EC,2020-06-06,5629,101,66013,389,6,0,0
EC,2020-06-07,5974,101,66013,345,0,0,0
EC,2020-06-08,6341,127,66013,367,26,0,0
EC,2020-06-09,6760,138,66013,419,11,0,0
FS,2020-03-05,0,0,0,0,0,0,0
FS,2020-03-07,0,0,0,0,0,0,0
FS,2020-03-08,0,0,0,0,0,0,0
FS,2020-03-09,0,0,0,0,0,0,0
FS,2020-03-11,0,0,0,0,0,0,0
FS,2020-03-12,0,0,0,0,0,0,0
FS,2020-03-13,0,0,0,0,0,0,0
FS,2020-03-14,0,0,0,0,0,0,0
FS,2020-03-15,0,0,0,0,0,0,0
FS,2020-03-16,0,0,0,0,0,0,0
FS,2020-03-17,0,0,0,0,0,0,0
FS,2020-03-18,0,0,0,0,0,0,0
FS,2020-03-19,0,0,0,0,0,0,0
FS,2020-03-20,7,0,0,7,0,0,0
FS,2020-03-21,7,0,0,0,0,0,0
FS,2020-03-22,9,0,0,2,0,0,0
FS,2020-03-23,13,0,0,4,0,0,0
FS,2020-03-24,18,0,0,5,0,0,0
FS,2020-03-25,30,0,0,12,0,0,0
FS,2020-03-26,49,0,0,19,0,0,0
FS,2020-03-27,49,0,0,0,0,0,0
FS,2020-03-28,68,0,0,19,0,0,0
FS,2020-03-29,72,0,0,4,0,0,0
FS,2020-03-30,72,1,0,0,1,0,0
FS,2020-03-31,74,1,0,2,0,0,0
FS,2020-04-01,76,1,0,2,0,0,0
FS,2020-04-02,84,1,0,8,0,0,0
FS,2020-04-03,84,1,0,0,0,0,0
FS,2020-04-04,85,1,0,1,0,0,0
FS,2020-04-05,87,1,0,2,0,0,0
FS,2020-04-06,89,1,0,2,0,0,0
FS,2020-04-07,89,1,0,0,0,0,0
FS,2020-04-08,88,3,0,0,2,0,0
FS,2020-04-09,93,3,0,5,0,0,0
FS,2020-04-10,94,3,0,1,0,0,0
FS,2020-04-11,94,3,0,0,0,0,0
FS,2020-04-12,96,3,0,2,0,0,0
FS,2020-04-13,96,3,0,0,0,0,0
FS,2020-04-14,98,3,0,2,0,0,0
FS,2020-04-15,97,3,0,0,0,0,0
