location,date,cum_infections,cum_deaths,cum_tests,new_diagnoses,new_deaths,new_tests,imported_cases
FS,2020-03-05,0,0,116,0,0,116,0
FS,2020-03-06,0,0,232,0,0,116,0
FS,2020-03-07,0,0,348,0,0,116,0
FS,2020-03-08,0,0,464,0,0,116,0
FS,2020-03-09,0,0,580,0,0,116,0
FS,2020-03-10,0,0,696,0,0,116,0
FS,2020-03-11,0,0,812,0,0,116,0
FS,2020-03-12,0,0,928,0,0,116,0
FS,2020-03-13,0,0,1044,0,0,116,0
FS,2020-03-14,0,0,1160,0,0,116,0
FS,2020-03-15,0,0,1276,0,0,116,0
FS,2020-03-16,0,0,1392,0,0,116,0
FS,2020-03-17,0,0,1508,0,0,116,0
FS,2020-03-18,0,0,1624,0,0,116,0
FS,2020-03-19,0,0,1740,0,0,116,0
FS,2020-03-20,7,0,1856,7,0,116,0
FS,2020-03-21,7,0,1972,0,0,116,0
FS,2020-03-22,9,0,2088,2,0,116,0
FS,2020-03-23,13,0,2204,4,0,116,0
FS,2020-03-24,18,0,2320,5,0,116,0
FS,2020-03-25,30,0,2436,12,0,116,0
FS,2020-03-26,49,0,2552,19,0,116,0
FS,2020-03-27,49,0,2668,0,0,116,0
FS,2020-03-28,68,0,2784,19,0,116,0
FS,2020-03-29,72,0,2900,4,0,116,0
FS,2020-03-30,72,1,3016,0,1,116,0
FS,2020-03-31,74,1,3132,2,0,116,0
FS,2020-04-01,76,1,3248,2,0,116,0
FS,2020-04-02,84,1,3364,8,0,116,0
FS,2020-04-03,84,1,3480,0,0,116,0
FS,2020-04-04,85,1,3596,1,0,116,0
FS,2020-04-05,87,1,3712,2,0,116,0
FS,2020-04-06,89,1,3828,2,0,116,0
FS,2020-04-07,89,1,3944,0,0,116,0
FS,2020-04-08,88,3,4060,0,2,116,0
FS,2020-04-09,93,3,4176,5,0,116,0
FS,2020-04-10,94,3,4292,1,0,116,0
FS,2020-04-11,94,3,4408,0,0,116,0
FS,2020-04-12,96,3,4524,2,0,116,0
FS,2020-04-13,96,3,4640,0,0,116,0
FS,2020-04-14,98,3,4756,2,0,116,0
FS,2020-04-15,97,3,4872,0,0,116,0
FS,2020-04-16,98,4,4988,1,1,116,0
FS,2020-04-17,100,4,5104,2,0,116,0
FS,2020-04-18,100,4,5220,0,0,116,0
FS,2020-04-19,100,4,5336,0,0,116,0
FS,2020-04-20,105,5,5452,5,1,116,0
FS,2020-04-21,106,5,5568,1,0,116,0
FS,2020-04-22,106,5,5684,0,0,116,0
FS,2020-04-23,106,5,5800,0,0,116,0
FS,2020-04-24,111,5,5916,5,0,116,0
FS,2020-04-25,111,5,6032,0,0,116,0
FS,2020-04-26,110,5,6148,0,0,116,0
FS,2020-04-27,111,5,6264,1,0,116,0
FS,2020-04-28,113,5,7316,2,0,1052,0
FS,2020-04-29,113,5,8368,0,0,1052,0
FS,2020-04-30,116,5,9420,3,0,1052,0
FS,2020-05-01,118,5,10472,2,0,1052,0
FS,2020-05-02,121,6,11524,3,1,1052,0
FS,2020-05-03,122,6,12576,1,0,1052,0
FS,2020-05-04,125,6,13342,3,0,766,0
FS,2020-05-05,128,6,14108,3,0,766,0
FS,2020-05-06,130,6,14874,2,0,766,0
FS,2020-05-07,134,6,15640,4,0,766,0
FS,2020-05-08,133,6,16406,0,0,766,0
FS,2020-05-09,134,6,17172,1,0,766,0
FS,2020-05-10,135,6,17680,1,0,508,0
FS,2020-05-11,135,6,18188,0,0,508,0
FS,2020-05-12,135,6,18696,0,0,508,0
FS,2020-05-13,138,6,19204,3,0,508,0
FS,2020-05-14,145,6,19939,7,0,735,0
FS,2020-05-15,151,6,20674,6,0,735,0
FS,2020-05-16,153,6,21409,2,0,735,0
FS,2020-05-17,158,6,22144,5,0,735,0
FS,2020-05-18,163,6,22879,5,0,735,0
FS,2020-05-19,168,6,23614,5,0,735,0
FS,2020-05-20,180,6,24349,12,0,735,0
FS,2020-05-21,184,6,25642,4,0,1293,0
FS,2020-05-22,185,6,26935,1,0,1293,0
FS,2020-05-23,196,6,28228,11,0,1293,0
FS,2020-05-24,202,6,29521,6,0,1293,0
FS,2020-05-25,208,6,30814,6,0,1293,0
FS,2020-05-26,206,6,32107,0,0,1293,0
FS,2020-05-27,221,6,33400,15,0,1293,0
FS,2020-05-28,225,8,34693,4,2,1293,0
FS,2020-05-29,231,8,35986,6,0,1293,0
FS,2020-05-30,261,8,37279,30,0,1293,0
FS,2020-05-31,278,8,38572,17,0,1293,0
