location,date,cum_infections,cum_deaths,cum_tests,new_diagnoses,new_deaths,new_tests,imported_cases
GP,2020-03-05,0,0,1145,0,0,1145,0
GP,2020-03-06,1,0,2290,1,0,1145,0
GP,2020-03-07,1,0,3435,1,0,1145,0
GP,2020-03-08,1,0,4580,0,0,1145,0
GP,2020-03-09,1,0,5725,0,0,1145,0
GP,2020-03-10,5,0,6870,4,0,1145,0
GP,2020-03-11,5,0,8015,4,0,1145,0
GP,2020-03-12,6,0,9160,1,0,1145,0
GP,2020-03-13,10,0,10305,4,0,1145,0
GP,2020-03-14,17,0,11450,7,0,1145,0
GP,2020-03-15,24,0,12595,7,0,1145,0
GP,2020-03-16,31,0,13740,7,0,1145,0
GP,2020-03-17,45,0,14885,14,0,1145,0
GP,2020-03-18,61,0,16030,16,0,1145,0
GP,2020-03-19,76,0,17175,15,0,1145,0
GP,2020-03-20,109,0,18320,33,0,1145,0
GP,2020-03-21,125,0,19465,16,0,1145,0
GP,2020-03-22,132,0,20610,7,0,1145,0
GP,2020-03-23,207,0,21755,75,0,1145,0
GP,2020-03-24,302,0,22900,95,0,1145,0
GP,2020-03-25,319,0,24045,17,0,1145,0
GP,2020-03-26,409,0,25190,90,0,1145,0
GP,2020-03-27,409,0,26335,0,0,1145,0
GP,2020-03-28,533,0,27480,124,0,1145,0
GP,2020-03-29,584,0,28625,51,0,1145,0
GP,2020-03-30,618,0,29770,34,0,1145,0
GP,2020-03-31,633,1,30915,15,1,1145,0
GP,2020-04-01,645,1,32060,12,0,1145,0
GP,2020-04-02,663,1,33205,18,0,1145,0
GP,2020-04-03,672,1,34350,9,0,1145,0
GP,2020-04-04,693,1,35495,21,0,1145,0
GP,2020-04-05,704,1,36640,11,0,1145,0
GP,2020-04-06,713,1,37785,9,0,1145,0
GP,2020-04-07,713,1,38930,0,0,1145,0
GP,2020-04-08,782,3,40075,69,2,1145,0
GP,2020-04-09,795,3,41220,13,0,1145,0
GP,2020-04-10,801,3,42365,6,0,1145,0
GP,2020-04-11,813,3,43510,12,0,1145,0
GP,2020-04-12,865,3,44655,52,0,1145,0
GP,2020-04-13,890,4,45800,25,1,1145,0
GP,2020-04-14,909,4,46945,19,0,1145,0
GP,2020-04-15,930,5,48090,21,1,1145,0
GP,2020-04-16,969,6,49235,39,1,1145,0
GP,2020-04-17,1018,6,50380,49,0,1145,0
