location,date,cum_infections,cum_deaths,cum_tests,new_diagnoses,new_deaths,new_tests,imported_cases
KZN,2020-03-05,1,0,523,0,0,523,0
KZN,2020-03-06,1,0,1046,0,0,523,0
KZN,2020-03-07,1,0,1569,0,0,523,0
KZN,2020-03-08,2,0,2092,1,0,523,0
KZN,2020-03-09,6,0,2615,4,0,523,0
KZN,2020-03-10,6,0,3138,0,0,523,0
KZN,2020-03-11,7,0,3661,1,0,523,0
KZN,2020-03-12,8,0,4184,1,0,523,0
KZN,2020-03-13,10,0,4707,2,0,523,0
KZN,2020-03-14,11,0,5230,1,0,523,0
KZN,2020-03-15,12,0,5753,1,0,523,0
KZN,2020-03-16,12,0,6276,0,0,523,0
KZN,2020-03-17,16,0,6799,4,0,523,0
KZN,2020-03-18,19,0,7322,3,0,523,0
KZN,2020-03-19,22,0,7845,3,0,523,0
KZN,2020-03-20,23,0,8368,1,0,523,0
KZN,2020-03-21,26,0,8891,3,0,523,0
KZN,2020-03-22,35,0,9414,9,0,523,0
KZN,2020-03-23,60,0,9937,25,0,523,0
KZN,2020-03-24,80,0,10460,20,0,523,0
KZN,2020-03-25,91,0,10983,11,0,523,0
KZN,2020-03-26,134,0,11506,43,0,523,0
KZN,2020-03-27,134,0,12029,0,0,523,0
KZN,2020-03-28,156,1,12552,22,1,523,0
KZN,2020-03-29,167,1,13075,11,0,523,0
KZN,2020-03-30,171,1,13598,4,0,523,0
KZN,2020-03-31,179,2,14121,8,1,523,0
KZN,2020-04-01,186,2,14644,7,0,523,0
KZN,2020-04-02,206,2,15167,20,0,523,0
KZN,2020-04-03,215,6,15690,9,4,523,0
KZN,2020-04-04,232,6,16213,17,0,523,0
KZN,2020-04-05,246,7,16736,14,1,523,0
KZN,2020-04-06,257,7,17259,11,0,523,0
KZN,2020-04-07,257,8,17782,0,1,523,0
KZN,2020-04-08,354,9,18305,97,1,523,0
KZN,2020-04-09,387,9,18828,33,0,523,0
KZN,2020-04-10,412,12,19351,25,3,523,0
