Date,vic
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,122.0
2020-03-20,139.0
2020-03-21,178.0
2020-03-22,226.0
2020-03-23,258.0
2020-03-24,298.0
2020-03-25,338.0
2020-03-26,368.0
2020-03-27,399.0
2020-03-28,491.0
2020-03-29,572.0
2020-03-30,569.0
2020-03-31,622.0
2020-04-01,621.0
2020-04-02,608.0
2020-04-03,602.0
2020-04-04,580.0
2020-04-05,554.0
2020-04-06,528.0
2020-04-07,494.0
2020-04-08,464.0
2020-04-09,410.0
2020-04-10,302.0
2020-04-11,265.0
2020-04-12,239.0
2020-04-13,192.0
2020-04-14,159.0
2020-04-15,148.0
2020-04-16,134.0
2020-04-17,129.0
2020-04-18,133.0
2020-04-19,125.0
2020-04-20,118.0
2020-04-21,119.0
2020-04-22,78.0
2020-04-23,70.0
2020-04-24,73.0
2020-04-25,68.0
2020-04-26,67.0
2020-04-27,52.0
2020-04-28,55.0
2020-04-29,49.0
2020-04-30,52.0
2020-05-01,53.0
2020-05-02,53.0
2020-05-03,66.0
2020-05-04,78.0
2020-05-05,94.0
2020-05-06,101.0
2020-05-07,114.0
2020-05-08,122.0
2020-05-09,123.0
2020-05-10,123.0
2020-05-11,116.0
2020-05-12,115.0
2020-05-13,111.0
2020-05-14,120.0
2020-05-15,118.0
2020-05-16,119.0
2020-05-17,126.0
2020-05-18,110.0
2020-05-19,101.0
2020-05-20,93.0
2020-05-21,88.0
2020-05-22,93.0
2020-05-23,92.0
2020-05-24,84.0
2020-05-25,64.0
2020-05-26,56.0
2020-05-27,57.0
2020-05-28,61.0
2020-05-29,62.0
2020-05-30,67.0
2020-05-31,70.0
2020-06-01,71.0
2020-06-02,79.0
2020-06-03,79.0
2020-06-04,73.0
2020-06-05,74.0
2020-06-06,71.0
2020-06-07,70.0
2020-06-08,71.0
2020-06-09,64.0
2020-06-10,54.0
2020-06-11,57.0
2020-06-12,49.0
2020-06-13,47.0
2020-06-14,40.0
2020-06-15,49.0
2020-06-16,51.0
2020-06-17,70.0
2020-06-18,81.0
2020-06-19,91.0
2020-06-20,110.0
2020-06-21,121.0
2020-06-22,125.0
2020-06-23,131.0
2020-06-24,141.0
2020-06-25,163.0
2020-06-26,183.0
2020-06-27,204.0
2020-06-28,231.0
2020-06-29,288.0
2020-06-30,321.0
2020-07-01,370.0
2020-07-02,415.0
2020-07-03,442.0
2020-07-04,509.0
2020-07-05,543.0
2020-07-06,645.0
2020-07-07,772.0
2020-07-08,860.0
2020-07-09,932.0
2020-07-10,1172.0
2020-07-11,1249.0
2020-07-12,1484.0
2020-07-13,1612.0
2020-07-14,1803.0
2020-07-15,1931.0
2020-07-16,2128.0
2020-07-17,2462.0
2020-07-18,2608.0
2020-07-19,2837.0
2020-07-20,2913.0
2020-07-21,3147.0
2020-07-22,3408.0
2020-07-23,3630.0
2020-07-24,3734.0
2020-07-25,3995.0
2020-07-26,4233.0
2020-07-27,4542.0
2020-07-28,4775.0
2020-07-29,4839.0
2020-07-30,5385.0
2020-07-31,5743.0
2020-08-01,5919.0
2020-08-02,6322.0
2020-08-03,6489.0
2020-08-04,6706.0
2020-08-05,7227.0
2020-08-06,7449.0
2020-08-07,7637.0
2020-08-08,7808.0
2020-08-09,7854.0
2020-08-10,7869.0
2020-08-11,7880.0
2020-08-12,7877.0
2020-08-13,7866.0
2020-08-14,7877.0
2020-08-15,7875.0
2020-08-16,7671.0
2020-08-17,7474.0
2020-08-18,7274.0
2020-08-19,7155.0
2020-08-20,4864.0
2020-08-21,4421.0
2020-08-22,4293.0
2020-08-23,4012.0
2020-08-24,3731.0
2020-08-25,3651.0
2020-08-26,3488.0
2020-08-27,3308.0
2020-08-28,3141.0
2020-08-29,2983.0
2020-08-30,2830.0
2020-08-31,2620.0
2020-09-01,2519.0
2020-09-02,2415.0
2020-09-03,2295.0
2020-09-04,2060.0
2020-09-05,1956.0
2020-09-06,1872.0
2020-09-07,1781.0
2020-09-08,1696.0
2020-09-09,1622.0
2020-09-10,1483.0
2020-09-11,1336.0
2020-09-12,1251.0
2020-09-13,1157.0
