Date,vic
2020-04-01,32
2020-04-02,34
2020-04-03,37
2020-04-04,42
2020-04-05,47
2020-04-06,45
2020-04-07,47
2020-04-08,45
2020-04-09,50
2020-04-10,43
2020-04-11,44
2020-04-12,44
2020-04-13,40
2020-04-14,40
2020-04-15,39
2020-04-16,39
2020-04-17,32
2020-04-18,30
2020-04-19,29
2020-04-20,28
2020-04-21,28
2020-04-22,29
2020-04-23,27
2020-04-24,27
2020-04-25,24
2020-04-26,21
2020-04-27,23
2020-04-28,23
2020-04-29,18
2020-04-30,18
2020-05-01,16
2020-05-02,12
2020-05-03,12
2020-05-04,11
2020-05-05,12
2020-05-06,8
2020-05-07,8
2020-05-08,8
2020-05-09,7
2020-05-10,7
2020-05-11,7
2020-05-12,8
2020-05-13,9
2020-05-14,9
2020-05-15,9
2020-05-16,11
2020-05-17,11
2020-05-18,9
2020-05-19,11
2020-05-20,10
2020-05-21,10
2020-05-22,10
2020-05-23,10
2020-05-24,9
2020-05-25,8
2020-05-26,8
2020-05-27,8
2020-05-28,8
2020-05-29,7
2020-05-30,7
2020-05-31,6
2020-06-01,6
2020-06-02,9
2020-06-03,9
2020-06-04,7
2020-06-05,7
2020-06-06,8
2020-06-07,6
2020-06-08,7
2020-06-09,7
2020-06-10,9
2020-06-11,6
2020-06-12,5
2020-06-13,5
2020-06-14,6
2020-06-15,7
2020-06-16,6
2020-06-17,5
2020-06-18,4
2020-06-19,5
2020-06-20,6
2020-06-21,7
2020-06-22,9
2020-06-23,9
2020-06-24,7
2020-06-25,7
2020-06-26,6
2020-06-27,5
2020-06-28,7
2020-06-29,9
2020-06-30,9
2020-07-01,15
2020-07-02,20
2020-07-03,23
2020-07-04,25
2020-07-05,26
2020-07-06,31
2020-07-07,35
2020-07-08,41
2020-07-09,40
2020-07-10,47
2020-07-11,49
2020-07-12,57
2020-07-13,72
2020-07-14,85
2020-07-15,105
2020-07-16,109
2020-07-17,122
2020-07-18,110
2020-07-19,130
2020-07-20,147
2020-07-21,174
2020-07-22,205
2020-07-23,201
2020-07-24,206
2020-07-25,229
2020-07-26,228
2020-07-27,245
2020-07-28,260
2020-07-29,307
2020-07-30,312
2020-07-31,349
2020-08-01,379
2020-08-02,385
2020-08-03,416
2020-08-04,456
2020-08-05,538
2020-08-06,575
2020-08-07,607
2020-08-08,636
2020-08-09,634
2020-08-10,640
2020-08-11,650
2020-08-12,662
2020-08-13,664
2020-08-14,659
2020-08-15,661
2020-08-16,662
2020-08-17,657
2020-08-18,665
2020-08-19,675
2020-08-20,622
2020-08-21,626
2020-08-22,610
2020-08-23,585
2020-08-24,629
2020-08-25,617
2020-08-26,578
2020-08-27,532
2020-08-28,513
2020-08-29,481
2020-08-30,472
2020-08-31,453
2020-09-01,421
2020-09-02,406
2020-09-03,361
2020-09-04,329
2020-09-05,298
2020-09-06,283
2020-09-07,266
2020-09-08,238
2020-09-09,196
2020-09-10,169
2020-09-11,140
2020-09-12,126
2020-09-13,116
