age,number
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,51644
19,57082
20,60109
21,62268
22,62977
23,65017
24,65748
25,67616
26,69524
27,68853
28,70349
29,69066
30,70911
31,70593
32,70290
33,70329
34,68168
35,66195
36,63651
37,61078
38,58825
39,57758
40,57888
41,57474
42,58945
43,58764
44,60562
45,62188
46,58516
47,57151
48,55721
49,52759
50,52699
51,51203
52,52390
53,52233
54,50728
55,50400
56,48635
57,46799
58,46043
59,44144
60,44053
61,41591
62,40048
63,39347
64,38105
65,37557
66,36069
67,35044
68,35468
69,36916
70,30984
71,28539
72,27857
73,24576
74,24515
75,22998
76,22513
77,21180
78,20299
79,19183
80,18359
81,16639
82,15860
83,14577
84,13563
85,13090
86,12411
87,10625
88,9448
89,8392
90,7237
91,5790
92,4815
93,3856
94,2895
95,2330
96,1584
97,903
98,684
99,480
100,260
101,184
102,107
103,62
104,40
105,29
106,9
107,5
108,6
109,0
110,3
111,0
112,0
113,4
114,3
115,0
