Age group,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-80,Total
0-4,1.164113777,0.246089806,0.041768571,0.051541746,0.014712315,0.063793348,0.112125596,0.082399114,0.040498022,0.046249546,0.025813786,0.017555384,0.002459207,0.000914792,8.25767E-66,6.392E-120,1.910035012
5-9,0.307930585,3.563409694,0.18614621,0.023772998,0.022884641,0.063655008,0.0803932,0.076050532,0.078264211,0.053240081,0.047386027,0.014789253,0.006093721,0.001368375,0.000347966,8.1009E-39,4.525732504
10-14,0.002418686,0.722676011,3.941426424,0.140767571,0.013922016,0.047004861,0.046375003,0.073960287,0.081845959,0.061336888,0.045446402,0.023063375,0.006240751,0.000700321,4.94301E-25,0.000182356,5.207366911
15-19,0.016528868,0.035746164,1.410662178,5.592893809,0.064296607,0.059974612,0.064725011,0.090993027,0.081422892,0.091425784,0.053264179,0.031658952,0.007532088,0.001062885,6.22298E-33,1.70994E-70,7.602187057
20-24,0.019775207,0.018298016,0.006899506,0.657582165,0.334876563,0.039098337,0.025676291,0.031535791,0.021216793,0.025365859,0.014121556,0.010059513,0.000789675,0.001238073,0.00017725,1.22015E-47,1.206710596
25-29,0.020585571,0.088713187,0.026376038,0.153369523,0.216566319,0.131000468,0.022359901,0.029659502,0.037288005,0.031829787,0.00873993,0.014292046,0.004931591,0.002384134,0.000463377,0.001286659,0.789846037
30-34,0.039499289,0.287079637,0.180096737,0.128792191,0.038686257,0.069986664,0.062178675,0.043226878,0.049774353,0.025296964,0.021761089,0.00333309,0.006207227,0.000441518,1.65526E-48,3.11343E-55,0.95636057
35-39,0.066316871,0.169632469,0.117902994,0.067161122,0.015219639,0.045118034,0.061547095,0.046095301,0.054292597,0.025393504,0.00396977,0.009301562,0.000653052,0.002079742,1.8454E-123,9.70098E-67,0.684683752
40-44,0.022491899,0.103658762,0.077974304,0.353016525,0.00772463,0.023911712,0.022936092,0.031091486,0.070779788,0.024644899,0.028981539,0.008113137,0.006786466,0.000484797,4.81616E-68,2.40404E-92,0.782596035
45-49,0.181920285,0.223303326,0.137184423,0.548334582,0.00544869,0.029011158,0.054741062,0.047453569,0.046961347,0.027590713,0.035775809,0.016503145,0.004042329,0.001713479,6.2146E-134,3.27537E-72,1.359983918
50-54,0.047054806,0.388394868,0.460923424,0.551548021,0.005730137,0.015511821,0.042351064,0.041919295,0.055340699,0.073898499,0.039369545,0.02096512,0.00587422,9.19711E-24,1.2392E-117,5.64728E-78,1.74888152
55-59,0.145543499,0.364803963,0.300730325,0.379206073,0.006617185,0.059643648,0.022747102,0.038284993,0.050845739,0.036098973,0.032987199,0.036680273,0.011276504,1.17429E-31,0.000782642,0.000763004,1.487011122
60-64,0.069765852,0.076212066,0.037194687,0.191829747,0.01432535,0.001953164,0.017736793,0.04949487,0.011355593,0.017721586,0.014386227,0.007327523,0.024634461,0.011432912,4.42548E-67,2.12175E-37,0.54537083
65-69,0.001971807,0.026721097,0.010195551,7.50286E-32,0.001942596,0.001902327,0.012265806,0.005378591,0.00549033,0.008810756,0.002016674,0.01545443,0.00835558,0.017470465,0.011124805,3.4572E-126,0.129100813
70-74,1.28424E-28,5.1182E-26,1.93237E-40,0.007618513,2.63715E-22,1.69844E-24,1.2594E-26,0.007625813,0.007856368,0.021169956,0.035247344,0.021454724,0.007743863,0.008013934,0.007912864,0.021382611,0.14602599
75-80,2.82218E-94,0.021159676,8.47499E-42,0.021294584,4.90032E-36,0.007596379,9.77728E-69,2.23233E-60,1.43819E-48,8.56643E-60,4.69857E-42,1.59934E-46,2.21089E-83,8.8592E-107,1.02043E-80,6.6141E-113,0.050050638
