Date,vic
2020-01-25,
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,2
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,3
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,1
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,6
2020-03-13,9
2020-03-14,13
2020-03-15,8
2020-03-16,14
2020-03-17,23
2020-03-18,27
2020-03-19,29
2020-03-20,28
2020-03-21,51
2020-03-22,67
2020-03-23,59
2020-03-24,56
2020-03-25,55
2020-03-26,54
2020-03-27,54
2020-03-28,111
2020-03-29,84
2020-03-30,52
2020-03-31,96
2020-04-01,51
2020-04-02,68
2020-04-03,49
2020-04-04,30
2020-04-05,20
2020-04-06,23
2020-04-07,33
2020-04-08,21
2020-04-09,16
2020-04-10,13
2020-04-11,24
2020-04-12,3
2020-04-13,13
2020-04-14,10
2020-04-15,8
2020-04-16,2
2020-04-17,1
2020-04-18,17
2020-04-19,9
2020-04-20,1
2020-04-21,7
2020-04-22,0
2020-04-23,1
2020-04-24,6
2020-04-25,3
2020-04-26,3
2020-04-27,0
2020-04-28,2
2020-04-29,3
2020-04-30,7
2020-05-01,3
2020-05-02,7
2020-05-03,13
2020-05-04,22
2020-05-05,17
2020-05-06,17
2020-05-07,14
2020-05-08,13
2020-05-09,10
2020-05-10,10
2020-05-11,7
2020-05-12,15
2020-05-13,5
2020-05-14,9
2020-05-15,20
2020-05-16,11
2020-05-17,7
2020-05-18,6
2020-05-19,6
2020-05-20,7
2020-05-21,1
2020-05-22,12
2020-05-23,9
2020-05-24,1
2020-05-25,2
2020-05-26,5
2020-05-27,8
2020-05-28,10
2020-05-29,6
2020-05-30,11
2020-05-31,4
2020-06-01,4
2020-06-02,10
2020-06-03,7
2020-06-04,8
2020-06-05,3
2020-06-06,0
2020-06-07,4
2020-06-08,2
2020-06-09,0
2020-06-10,4
2020-06-11,8
2020-06-12,4
2020-06-13,8
2020-06-14,9
2020-06-15,12
2020-06-16,9
2020-06-17,21
2020-06-18,18
2020-06-19,12
2020-06-20,25
2020-06-21,19
2020-06-22,11
2020-06-23,17
2020-06-24,20
2020-06-25,33
2020-06-26,30
2020-06-27,40
2020-06-28,41
2020-06-29,71
2020-06-30,60
2020-07-01,72
2020-07-02,72
2020-07-03,65
2020-07-04,101
2020-07-05,67
2020-07-06,124
2020-07-07,164
2020-07-08,118
2020-07-09,156
2020-07-10,281
2020-07-11,181
2020-07-12,239
2020-07-13,168
2020-07-14,257
2020-07-15,224
2020-07-16,302
2020-07-17,415
2020-07-18,188
2020-07-19,343
2020-07-20,246
2020-07-21,347
2020-07-22,450
2020-07-23,386
2020-07-24,280
2020-07-25,339
2020-07-26,437
2020-07-27,515
2020-07-28,353
2020-07-29,255
2020-07-30,694
2020-07-31,579
2020-08-01,354
2020-08-02,626
2020-08-03,380
2020-08-04,398
2020-08-05,700
2020-08-06,434
2020-08-07,398
2020-08-08,416
2020-08-09,376
2020-08-10,298
2020-08-11,294
2020-08-12,395
2020-08-13,217
2020-08-14,371
2020-08-15,283
2020-08-16,247
2020-08-17,263
2020-08-18,211
2020-08-19,208
2020-08-20,237
2020-08-21,169
2020-08-22,177
2020-08-23,202
2020-08-24,99
2020-08-25,134
2020-08-26,144
2020-08-27,106
2020-08-28,108
2020-08-29,81
2020-08-30,112
2020-08-31,65
2020-09-01,58
2020-09-02,86
2020-09-03,112
2020-09-04,79
2020-09-05,64
2020-09-06,59
2020-09-07,36
2020-09-08,41
2020-09-09,73
2020-09-10,40
2020-09-11,39
2020-09-12,33
2020-09-13,35
