location,date,new_diagnoses,new_diagnoses_all,new_tests_raw,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-02-15,0,0,28,37,28,0,9,0,0,0
QLD,2020-02-16,0,1,25,40,53,0,10,0,0,1
QLD,2020-02-17,0,0,72,49,125,0,10,0,0,2
QLD,2020-02-18,0,0,110,60,235,0,10,0,0,3
QLD,2020-02-19,0,1,74,75,309,0,11,0,0,4
QLD,2020-02-20,0,2,102,88,411,0,13,0,0,5
QLD,2020-02-21,0,2,102,100,513,0,15,0,0,6
QLD,2020-02-22,0,1,47,108,560,0,16,0,0,7
QLD,2020-02-23,0,1,36,114,596,0,17,0,0,8
QLD,2020-02-24,0,0,146,147,742,0,17,0,0,9
QLD,2020-02-25,0,1,165,181,907,0,18,0,0,10
QLD,2020-02-26,0,1,214,217,1121,0,19,0,0,11
QLD,2020-02-27,0,2,192,263,1313,0,21,0,0,12
QLD,2020-02-28,0,0,189,310,1502,0,21,0,0,13
QLD,2020-02-29,0,0,114,328,1616,0,21,0,0,14
QLD,2020-03-01,0,2,125,357,1741,0,23,0,0,15
QLD,2020-03-02,1,4,523,536,2264,1,27,0,0,16
QLD,2020-03-03,0,2,572,692,2836,1,29,0,0,17
QLD,2020-03-04,1,1,661,831,3497,2,30,0,0,18
QLD,2020-03-05,0,3,759,1022,4256,2,33,0,0,19
QLD,2020-03-06,1,6,802,1278,5058,3,39,0,0,20
QLD,2020-03-07,2,7,380,1367,5438,5,46,0,0,21
QLD,2020-03-08,1,13,472,1428,5910,6,59,0,0,22
QLD,2020-03-09,3,23,2723,1708,8633,9,82,0,0,23
QLD,2020-03-10,1,18,2486,1872,11119,10,100,1,1,24
QLD,2020-03-11,4,22,2256,1981,13375,14,122,1,0,25
QLD,2020-03-12,10,27,3071,2069,16446,24,149,1,0,26
QLD,2020-03-13,6,31,4033,2144,20479,30,180,1,0,27
QLD,2020-03-14,6,27,1531,2165,22010,36,207,1,0,28
QLD,2020-03-15,9,40,1028,2203,23038,45,247,1,0,29
QLD,2020-03-16,10,42,4322,2325,27360,55,289,1,0,30
QLD,2020-03-17,17,61,2990,2288,30350,72,350,1,0,31
QLD,2020-03-18,12,67,2200,2271,32550,84,417,1,0,32
QLD,2020-03-19,8,87,1978,2317,34528,92,504,1,0,33
QLD,2020-03-20,12,71,1893,2286,36421,104,575,1,0,34
QLD,2020-03-21,10,70,1111,2113,37532,114,645,1,0,35
QLD,2020-03-22,15,65,945,2071,38477,129,710,2,1,36
QLD,2020-03-23,20,70,2304,2161,40781,149,780,2,0,37
QLD,2020-03-24,10,52,2175,2005,42956,159,832,2,0,38
QLD,2020-03-25,10,37,2225,1922,45181,169,869,2,0,39
QLD,2020-03-26,4,24,2945,1874,48126,173,893,3,1,40
QLD,2020-03-27,11,31,2617,1842,50743,184,924,3,0,41
QLD,2020-03-28,11,31,1426,1766,52169,195,955,3,0,42
QLD,2020-03-29,6,18,900,1726,53069,201,973,3,0,43
QLD,2020-03-30,4,14,2389,1774,55458,205,987,4,1,44
