location,date,new_diagnoses,new_diagnoses_all,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index,
QLD,2020-02-15,0,0,2,2,0,9,0,0,0,60
QLD,2020-02-16,0,1,3,5,0,10,0,0,1,65
QLD,2020-02-17,0,0,2,7,0,10,0,0,2,62
QLD,2020-02-18,0,0,3,10,0,10,0,0,3,77
QLD,2020-02-19,0,1,4,14,0,11,0,0,4,92
QLD,2020-02-20,0,2,3,17,0,13,0,0,5,87
QLD,2020-02-21,0,2,3,20,0,15,0,0,6,72
QLD,2020-02-22,0,1,3,23,0,16,0,0,7,87
QLD,2020-02-23,0,1,4,27,0,17,0,0,8,99
QLD,2020-02-24,0,0,5,32,0,17,0,0,9,122
QLD,2020-02-25,0,1,6,38,0,18,0,0,10,151
QLD,2020-02-26,0,1,7,45,0,19,0,0,11,181
QLD,2020-02-27,0,2,7,52,0,21,0,0,12,175
QLD,2020-02-28,0,0,7,59,0,21,0,0,13,167
QLD,2020-02-29,0,0,9,68,0,21,0,0,14,229
QLD,2020-03-01,0,2,12,80,0,23,0,0,15,305
QLD,2020-03-02,1,4,16,96,1,27,0,0,16,399
QLD,2020-03-03,0,2,21,117,1,29,0,0,17,528
QLD,2020-03-04,1,1,26,143,2,30,0,0,18,663
QLD,2020-03-05,0,3,25,168,2,33,0,0,19,635
QLD,2020-03-06,1,6,24,192,3,39,0,0,20,615
QLD,2020-03-07,2,7,40,232,5,46,0,0,21,1027
QLD,2020-03-08,1,13,54,286,6,59,0,0,22,1373
QLD,2020-03-09,3,23,65,351,9,82,0,0,23,1663
QLD,2020-03-10,1,18,86,437,10,100,1,1,24,2202
QLD,2020-03-11,4,22,114,551,14,122,1,0,25,2914
QLD,2020-03-12,10,27,105,656,24,149,1,0,26,2675
QLD,2020-03-13,6,31,93,749,30,180,1,0,27,2384
QLD,2020-03-14,6,27,110,859,36,207,1,0,28,2797
QLD,2020-03-15,9,40,109,968,45,247,1,0,29,2781
QLD,2020-03-16,10,42,95,1063,55,289,1,0,30,2414
QLD,2020-03-17,17,61,98,1161,72,350,1,0,31,2504
QLD,2020-03-18,12,67,105,1266,84,417,1,0,32,2677
QLD,2020-03-19,8,87,80,1346,92,504,1,0,33,2034
QLD,2020-03-20,12,71,64,1410,104,575,1,0,34,1625
QLD,2020-03-21,10,70,65,1475,114,645,1,0,35,1646
QLD,2020-03-22,15,65,66,1541,129,710,2,1,36,1686
QLD,2020-03-23,20,70,69,1610,149,780,2,0,37,1752
QLD,2020-03-24,10,52,83,1693,159,832,2,0,38,2119
QLD,2020-03-25,10,37,96,1789,169,869,2,0,39,2453
QLD,2020-03-26,4,24,89,1878,173,893,3,1,40,2278
QLD,2020-03-27,11,31,79,1957,184,924,3,0,41,2023
QLD,2020-03-28,11,31,81,2038,195,955,3,0,42,2055
QLD,2020-03-29,6,18,73,2111,201,973,3,0,43,1861
