location,date,new_diagnoses,new_diagnoses_all,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-02-15,0,0,73,73,0,9,0,0,0
QLD,2020-02-16,0,1,74,147,0,10,0,0,1
QLD,2020-02-17,0,0,76,223,0,10,0,0,2
QLD,2020-02-18,0,0,72,295,0,10,0,0,3
QLD,2020-02-19,0,1,66,361,0,11,0,0,4
QLD,2020-02-20,0,2,79,440,0,13,0,0,5
QLD,2020-02-21,0,2,95,535,0,15,0,0,6
QLD,2020-02-22,0,1,111,646,0,16,0,0,7
QLD,2020-02-23,0,1,120,766,0,17,0,0,8
QLD,2020-02-24,0,0,133,899,0,17,0,0,9
QLD,2020-02-25,0,1,134,1033,0,18,0,0,10
QLD,2020-02-26,0,1,136,1169,0,19,0,0,11
QLD,2020-02-27,0,2,189,1358,0,21,0,0,12
QLD,2020-02-28,0,0,249,1607,0,21,0,0,13
QLD,2020-02-29,0,0,306,1913,0,21,0,0,14
QLD,2020-03-01,0,2,372,2285,0,23,0,0,15
QLD,2020-03-02,1,4,437,2722,1,27,0,0,16
QLD,2020-03-03,0,2,458,3180,1,29,0,0,17
QLD,2020-03-04,1,1,490,3670,2,30,0,0,18
QLD,2020-03-05,0,3,780,4450,2,33,0,0,19
QLD,2020-03-06,1,6,1042,5492,3,39,0,0,20
QLD,2020-03-07,2,7,1235,6727,5,46,0,0,21
QLD,2020-03-08,1,13,1512,8239,6,59,0,0,22
QLD,2020-03-09,3,23,1887,10126,9,82,0,0,23
QLD,2020-03-10,1,18,1973,12099,10,100,1,1,24
QLD,2020-03-11,4,22,1998,14097,14,122,1,0,25
QLD,2020-03-12,10,27,2436,16533,24,149,1,0,26
QLD,2020-03-13,6,31,2716,19249,30,180,1,0,27
QLD,2020-03-14,6,27,2657,21906,36,207,1,0,28
QLD,2020-03-15,9,40,2601,24507,45,247,1,0,29
QLD,2020-03-16,10,42,2561,27068,55,289,1,0,30
QLD,2020-03-17,17,61,2343,29411,72,350,1,0,31
QLD,2020-03-18,12,67,2000,31411,84,417,1,0,32
QLD,2020-03-19,8,87,2086,33497,92,504,1,0,33
QLD,2020-03-20,12,71,2213,35710,104,575,1,0,34
QLD,2020-03-21,10,70,1980,37690,114,645,1,0,35
QLD,2020-03-22,15,65,1975,39665,129,710,2,1,36
QLD,2020-03-23,20,70,2021,41686,149,780,2,0,37
QLD,2020-03-24,10,52,1960,43646,159,832,2,0,38
QLD,2020-03-25,10,37,1850,45496,169,869,2,0,39
QLD,2020-03-26,4,24,1992,47488,173,893,3,1,40
QLD,2020-03-27,11,31,2106,49594,184,924,3,0,41
QLD,2020-03-28,11,31,2045,51639,195,955,3,0,42
QLD,2020-03-29,6,18,1966,53605,201,973,3,0,43
QLD,2020-03-30,4,14,1887,55492,205,987,4,1,44
QLD,2020-03-31,5,14,1643,57135,210,1001,4,0,45
QLD,2020-04-01,3,10,1408,58543,213,1011,4,0,46
QLD,2020-04-02,4,12,1435,59978,217,1023,5,1,47
QLD,2020-04-03,1,2,1647,61625,218,1025,5,0,48
QLD,2020-04-04,5,7,1702,63327,223,1032,5,0,49
QLD,2020-04-05,1,4,1775,65102,224,1036,5,0,50
QLD,2020-04-06,1,1,1668,66770,225,1037,5,0,51
QLD,2020-04-07,0,1,1614,68384,225,1038,5,0,52
QLD,2020-04-08,1,4,1531,69915,226,1042,5,0,53
QLD,2020-04-09,4,7,1546,71461,230,1049,5,0,54
QLD,2020-04-10,1,1,1781,73242,231,1050,5,0,55
QLD,2020-04-11,2,2,1868,75110,233,1052,5,0,56
QLD,2020-04-12,0,0,1846,76956,233,1052,5,0,57
QLD,2020-04-13,0,3,1866,78822,233,1055,5,0,58
QLD,2020-04-14,1,2,1732,80554,234,1057,5,0,59
QLD,2020-04-15,2,2,1755,82309,236,1059,5,0,60
QLD,2020-04-16,0,0,1941,84250,236,1059,5,0,61
QLD,2020-04-17,1,1,2111,86361,237,1060,5,0,62
QLD,2020-04-18,0,0,2292,88653,237,1060,5,0,63
QLD,2020-04-19,0,0,2231,90884,237,1060,5,0,64
QLD,2020-04-20,1,1,2184,93068,238,1061,5,0,65
QLD,2020-04-21,0,0,2015,95083,238,1061,5,0,66
