location,date,new_diagnoses,new_diagnoses_all,new_tests_raw,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2021-01-14,0,2,9568,1674953,306,1280,6,0,358
QLD,2021-01-15,0,1,8127,1683080,306,1281,6,0,359
QLD,2021-01-16,0,2,4304,1687384,306,1283,6,0,360
QLD,2021-01-17,0,2,4043,1691427,306,1285,6,0,361
QLD,2021-01-18,0,1,9248,1700675,306,1286,6,0,362
QLD,2021-01-19,0,2,7499,1708174,306,1288,6,0,363
QLD,2021-01-20,0,2,7972,1716146,306,1290,6,0,364
QLD,2021-01-21,0,0,6167,1722313,306,1290,6,0,365
QLD,2021-01-22,0,0,5791,1728104,306,1290,6,0,366
QLD,2021-01-23,0,2,3429,1731533,306,1292,6,0,367
QLD,2021-01-24,0,0,2949,1734482,306,1292,6,0,368
QLD,2021-01-25,0,1,7443,1741925,306,1293,6,0,369
QLD,2021-01-26,0,0,3626,1745551,306,1293,6,0,370
QLD,2021-01-27,0,0,7535,1753086,306,1293,6,0,371
QLD,2021-01-28,0,1,6749,1759835,306,1294,6,0,372
QLD,2021-01-29,0,0,5555,1765390,306,1294,6,0,373
QLD,2021-01-30,0,0,4161,1769551,306,1294,6,0,374
QLD,2021-01-31,0,1,2857,1772408,306,1295,6,0,375
QLD,2021-02-01,0,0,7964,1780372,306,1295,6,0,376
QLD,2021-02-02,0,1,6930,1787302,306,1296,6,0,377
QLD,2021-02-03,0,1,6279,1793581,306,1297,6,0,378
QLD,2021-02-04,0,1,8424,1802005,306,1298,6,0,379
QLD,2021-02-05,0,0,6743,1808748,306,1298,6,0,380
QLD,2021-02-06,0,1,3777,1812525,306,1299,6,0,381
QLD,2021-02-07,0,1,3254,1815779,306,1300,6,0,382
QLD,2021-02-08,0,2,9281,1825060,306,1302,6,0,383
QLD,2021-02-09,0,0,7862,1832922,306,1302,6,0,384
QLD,2021-02-10,0,0,7454,1840376,306,1302,6,0,385
QLD,2021-02-11,0,1,7316,1847692,306,1303,6,0,386
QLD,2021-02-12,0,0,8453,1856145,306,1303,6,0,387
QLD,2021-02-13,0,0,5950,1862095,306,1303,6,0,388
QLD,2021-02-14,0,0,4127,1866222,306,1303,6,0,389
QLD,2021-02-15,0,0,8923,1875145,306,1303,6,0,390
QLD,2021-02-16,0,0,3120,1878265,306,1303,6,0,391
