outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,45,33.8313253012048,33,9.2218282803475,58.1,41.8,0.1,31,19.4867807153966,18,8.32136765325596,5,6.55987558320373,5,5.6640588502841,0.1,1,0,6260,cluster,0.028231366,True,31,21.7772357723577,19,10.6777240427457,61.5,38.5,0
True,32,31.4285714285714,30,8.98869412635199,81.2000000000001,18.7,0.1,19,15.4450800915332,14,7.22488262075901,5,6.5045766590389,5,5.83884272072385,0.1,2,0,6260,cluster,0.028231366,True,20,18.6990407673861,17,9.89049511219157,83.4000000000001,16.6,0
True,27,28.3423035522067,26,8.41439815484665,92.9000000000001,7.10000000000001,0,13,12.3474226804124,11,5.66649754154642,5,6.39896907216495,5,5.904445203742,0.1,3,0,6260,cluster,0.028231366,True,14,15.297124600639,14,9.01885979421288,93.9000000000001,6.10000000000001,0
True,25,26.3815925542916,25,7.43758533690261,96.7000000000001,3.3,0,11,10.0131180625631,9,4.00993084398579,5,6.31584258324924,5,5.43748447428736,0.1,4,0,6260,cluster,0.028231366,True,11,12.9907692307692,11,7.72972397577154,97.5000000000001,2.5,0
True,23,24.2757575757576,23,6.57157316941906,99.0000000000001,1,0,10,8.67467467467468,8,3.20211223914174,6,6.64264264264264,5,5.63073072984097,0.1,5,0,6260,cluster,0.028231366,True,9,10.930583501006,10,6.75350793872637,99.4000000000001,0.6,0
True,21,22.9113796576032,22,6.48106712101167,99.3000000000001,0.7,0,8,7.62,7,2.82375636342798,6,7.012,6,5.30922367206355,0.1,6,0,6260,cluster,0.028231366,True,8,9.48241206030151,8,6.19096782612995,99.5000000000001,0.5,0
True,20,21.5365365365365,20,5.43193541371353,99.9000000000001,0.1,0,7,7.016,7,2.25160920232619,6,7.249,6,5.4004628505342,0.1,7,0,6260,cluster,0.028231366,True,6,8.14814814814815,7,4.89653450148146,99.9000000000001,0.1,0
True,19,20.302,19,5.18138938895737,100,0,0,7,6.372,6,1.87179486055497,7,7.915,7,5.51976222313969,0.1,8,0,6260,cluster,0.028231366,True,6,7.04604604604605,6,4.44788326594003,99.9000000000001,0.1,0
True,18,19.3173173173173,18,4.61147222549339,99.9000000000001,0.1,0,6,6.019,6,1.67589945999156,7,7.911,7,5.35789874857672,0.1,9,0,6260,cluster,0.028231366,True,5,6.17251755265797,5,3.56179535338022,99.7000000000001,0.3,0
True,17,18.291,18,4.29002552439959,100,0,0,6,5.672,5,1.6150591320444,8,8.869,8,5.57994973095636,0.1,10,0,6260,cluster,0.028231366,True,5,5.5616850551655,5,3.26149788816901,99.7000000000001,0.3,0
True,17,17.64,17,3.7884561499376,100,0,0,5,5.439,5,1.5428152838237,7,8.909,8,5.46413021440741,0.1,11,0,6260,cluster,0.028231366,True,5,5.04819277108434,4,2.63809113685889,99.6000000000001,0.4,0
True,16,16.964,16,3.46247079410065,100,0,0,5,5.207,5,1.46702113140882,8,9.628,9,5.79116706718085,0.1,12,0,6260,cluster,0.028231366,True,5,4.50850850850851,4,2.15181504448299,99.9000000000001,0.1,0
True,16,16.401,16,3.45285374726472,100,0,0,5,4.969,5,1.36383246771735,9,9.713,9,6.12916234080971,0.1,13,0,6260,cluster,0.028231366,True,5,4.31594784353059,4,2.08531100684615,99.7000000000001,0.3,0
True,15,15.999,15,3.44543161302035,100,0,0,5,4.732,5,1.28692501724071,10,9.94,9,6.0110232074082,0.1,14,0,6260,cluster,0.028231366,True,4,4.13266331658291,4,1.90963924668337,99.5000000000001,0.5,0
True,15,15.088,15,2.99970931925078,100,0,0,5,4.728,5,1.2984667881775,11,10.607,10,6.14821526949081,0.1,15,0,6260,cluster,0.028231366,True,4,3.82074521651561,4,1.56500393280903,99.3000000000001,0.7,0
True,14,14.511,14,2.93732514373196,100,0,0,4,4.524,4,1.17533995082274,10,11.474,11,6.54807788591431,0.1,16,0,6260,cluster,0.028231366,True,4,3.66228513650152,3,1.42248420377926,98.9000000000001,1.1,0
True,14,14.174,14,2.75203997063996,100,0,0,4,4.43,4,1.17690271475598,10,11.585,11,6.15067272743397,0.1,17,0,6260,cluster,0.028231366,True,4,3.48279352226721,3,1.14827254955224,98.8000000000001,1.2,0
True,13,13.717,13,2.64327656517437,100,0,0,4,4.289,4,1.16853711965004,10,11.673,11,6.53208014341527,0.1,18,0,6260,cluster,0.028231366,True,4,3.37840565085772,3,1.12269401781927,99.1000000000001,0.9,0
True,13,13.407,13,2.44976549898148,100,0,0,4,4.236,4,1.06127470524836,11,12.434,11,6.83371377802729,0.1,19,0,6260,cluster,0.028231366,True,4,3.21739130434783,3,0.97711988286267,98.9000000000001,1.1,0
True,13,12.99,13,2.312985084258,100,0,0,4,4.181,4,1.04701432654955,12,12.817,12,6.82242706080468,0.1,20,0,6260,cluster,0.028231366,True,4,3.17676767676768,3,0.917872846415848,99.0000000000001,1,0
