dsct,dsct_day,dsct_day_av,dsct_day_md,dsct_day_sd,outbreak_prob,control_prob,contained_prob,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,sct,sct_day,sct_day_av,sct_day_md,sct_day_sd,resurgence_prob,sct_control_prob,sct_contained_prob
True,55,42.9579349904398,44,8.74769290205049,52.3,47.3,0.4,43,32.8254847645429,33.5,10.5251322413793,5,6.88504155124654,5,6.34417507704869,0.1,0,0.05,6260,distributed,0.028231366,True,43,35.0042796005706,35,11.8970253154693,70.1000000000001,29.6,0.3
True,40,38.8051157125457,38,8.21208064938295,82.1000000000001,17.9,0,28,25.5905172413793,23.5,9.08475398152724,6,6.72306034482759,5,6.10591030349198,0.1,0,0.1,6260,distributed,0.028231366,True,28,28.3131749460043,26,10.9231153271874,92.6000000000001,7.40000000000001,0
True,42,39.0731102850062,39,8.67409984067959,80.7000000000001,19.3,0,28,26.3076086956522,25,9.66560164455523,5,6.76521739130435,5,5.98960031298106,0.1,0,0.1428,6260,distributed,0.028231366,True,29,28.6437908496732,27,11.1908829025802,91.8000000000001,8.20000000000001,0
True,55,41.4198473282443,41,8.90617265872793,52.4,47.4,0.2,43,29.4030769230769,27,10.3992894613899,6,6.68615384615385,5,5.83305901862761,0.1,0,0.15,6260,distributed,0.028231366,True,42,34.1622002820874,33,13.090244807569,70.9000000000001,29.1,0
True,41,40.3249176728869,40,7.66016857661771,91.1000000000001,8.70000000000001,0.2,28,26.3791708796764,25,7.05437575626201,5,6.87866531850354,5,6.03306023607871,0.1,0,0.167,6260,distributed,0.028231366,True,27,28.632382892057,28,9.30334511725246,98.2000000000001,1.8,0
True,30,31.332304526749,30,7.90463124381391,97.2000000000001,2.8,0,17,16.4264264264264,16,5.62761160304236,6,7.3053053053053,6,6.39114454620551,0.1,0,0.2,6260,distributed,0.028231366,True,17,18.3746223564955,16,8.67138924413771,99.3000000000001,0.7,0
True,38,36.4947245017585,36,9.62748278054207,85.3000000000001,14.7,0,25,23.8825331971399,21,11.0085625192955,6,7.00612870275792,5,6.17484130945231,0.1,0,0.25,6260,distributed,0.028231366,True,24,26.0341614906832,23,12.253358548801,96.6000000000001,3.4,0
True,39,38.8863387978142,38,7.81410936542569,91.5000000000001,8.50000000000001,0,25,24.5390781563126,23,7.74919841687591,5,6.54308617234469,5,5.84002217569543,0.1,0,0.3,6260,distributed,0.028231366,True,26,27.5745967741935,26,9.81268516564093,99.2000000000001,0.8,0
True,42,40.7585446527012,40,7.9171649508401,90.7000000000001,9.20000000000001,0.1,28,27.1278952668681,26,7.7986208208929,6,7.07754279959718,6,6.09186382302651,0.1,0,0.33,6260,distributed,0.028231366,True,29,29.1428571428571,28,9.63029126090511,98.7000000000001,1.3,0
True,36,36.896197327852,36,7.45583198275691,97.3000000000001,2.6,0.1,24,22.483,21,6.15594923630792,6,7.419,6,6.35385229604844,0.1,0,0.35,6260,distributed,0.028231366,True,22,24.2572572572573,23,8.08791068101453,99.9000000000001,0.1,0
