dsct,dsct_day,dsct_day_av,dsct_day_md,dsct_day_sd,dsct_prob,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,sct,sct_day,sct_day_av,sct_day_md,sct_day_sd,sct_prob,sct_control_prob,sct_contained_prob,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,vax_proportion,vax_efficacy,vevp
True,55,35.8747514910537,35,9.19991241032905,0.1,41,20.4,18,8.87088674141133,4.66666666666667,6.54619883040936,5.33333333333333,5.39007735512114,True,44,22.9761029411765,21,11.1023554517786,54.4,45.6,0,0.1,1,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,36,33.5168690958165,32,9.20826941151614,0.1,22,17.1927272727273,15,8.78458404276535,6,6.19111111111111,5,5.11526155593574,True,21,20.6548672566372,18,11.1266004409145,79.1000000000001,20.9,0,0.1,2,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,31,31.2732300884956,30,8.83198081642785,0,16,13.3798530954879,12,6.59489557289982,5.66666666666667,6.20776495278069,4.66666666666667,5.29244737024927,True,16,17.6569579288026,15,9.97488283727843,92.7000000000001,7.30000000000001,0,0.1,3,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,28,29.1001064962726,28,8.38761384520935,0,13,10.4362895005097,10,4.88097558113446,5.66666666666667,5.65409446143391,4.33333333333333,4.5619234537697,True,13,14.8893528183716,13,8.95338609385663,95.8000000000001,4.2,0,0.1,4,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,26,27.5249745158002,26,8.15701158803032,0,10,8.88588588588589,8,3.59554153221749,5.16666666666667,5.81948615281949,5,4.32445673351497,True,10,12.7375886524823,11,8.06816422882527,98.7000000000001,1.3,0,0.1,5,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,24,25.820202020202,24,7.33071550792811,0,9,7.83883883883884,7,2.90680280645397,5.5,6.03970637303971,5,4.19087495134827,True,9,10.9446680080483,9,7.21361031544826,99.4000000000001,0.6,0,0.1,6,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,23,24.2588116817724,23,6.83796679776053,0,8,7.152,7,2.3951818302584,6,6.48433333333333,5.33333333333333,4.22742095004613,True,7,9.41767068273092,8,6.30358546820807,99.6000000000001,0.4,0,0.1,7,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,22,22.682,22,5.75020660498386,0,7,6.542,6,2.01152578904671,6.16666666666667,6.705,6,4.10657704177092,True,6,7.825,7,4.87425635353743,100,0,0,0.1,8,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,21,21.7477477477477,21,5.6031980386823,0,6,6.152,6,1.91282409018707,6,6.904,6,4.17517871872969,True,6,7.35707121364092,6,4.57379946791088,99.7000000000001,0.3,0,0.1,9,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,20,20.765,20,5.27027276333967,0,6,5.699,5,1.66625298199283,7,7.33,6.66666666666667,4.19112687047821,True,5,6.49799599198397,5,3.96546918834978,99.8000000000001,0.2,0,0.1,10,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,19,19.8406813627255,19,4.69849124471107,0,5,5.481,5,1.61481856565993,6.66666666666667,7.67766666666667,7,4.08800292182979,True,5,5.81763527054108,5,3.67747975302466,99.8000000000001,0.2,0,0.1,11,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,18,19.081,19,4.43085082123061,0,5,5.235,5,1.45663138782603,7.33333333333333,8.20566666666667,7.33333333333333,4.2942120089462,True,5,5.16816816816817,4,2.70796617936346,99.9000000000001,0.1,0,0.1,12,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,18,18.312,18,4.12051647248255,0,5,4.94,5,1.35955875194859,8,8.36466666666667,7.66666666666667,4.38526781140876,True,5,4.88176352705411,4,2.61988084604765,99.8000000000001,0.2,0,0.1,13,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,17,17.784,17,3.9821280742839,0,5,4.835,5,1.29142363304998,8.33333333333333,8.66433333333333,8,4.24126489256317,True,5,4.47194388777555,4,2.23667607592045,99.8000000000001,0.2,0,0.1,14,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,16,17.132,17,3.75853375666629,0,5,4.661,5,1.19919931621061,9.33333333333333,8.943,8.33333333333333,4.37812439547145,True,5,4.20381526104418,4,1.92051530014222,99.6000000000001,0.4,0,0.1,15,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,16,16.284,16,3.52155420233737,0,4,4.588,4,1.19258374967966,8,9.851,9,4.85991759189392,True,4,3.98890010090817,4,1.72617935265364,99.1000000000001,0.9,0,0.1,16,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,15,15.688,15,3.35270875561836,0,4,4.411,4,1.1798639752107,8.33333333333333,9.89766666666667,9,5.21400625452466,True,4,3.78665318503539,4,1.43267651760173,98.9000000000001,1.1,0,0.1,17,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,15,15.286,15,3.28484459297544,0,4,4.346,4,1.12351412986219,9,10.3076666666667,9.66666666666667,5.13122327845255,True,4,3.61933534743202,3,1.45150155309589,99.3000000000001,0.7,0,0.1,18,0,6260,cluster,0.028231366,0.2,0.7,0.9
True,14,14.944,15,3.16525891516002,0,4,4.277,4,1.15163839810941,9.66666666666667,10.7583333333333,10,5.45004969396304,True,4,3.4929435483871,3,1.44102849025147,99.2000000000001,0.8,0,0.1,19,0,6260,cluster,0.028231366,0.2,0.7,0.9
