date,cum_infections,cum_deaths,cum_test,cum_neg,n_severe,n_critical,cum_recovered,new_diagnoses,new_deaths,new_tests
2020-03-01,9,,,,,,,5.0,,
2020-03-04,10,,,,,,,1.0,,
2020-03-07,11,,,,,,,1.0,,
2020-03-08,12,,,,,,,1.0,,
2020-03-09,15,,,,,,,3.0,,
2020-03-10,18,,,,,,,3.0,,
2020-03-11,21,,,,,,,3.0,,
2020-03-12,27,,,,,,,6.0,,
2020-03-13,36,,,,,,,9.0,,
2020-03-14,49,,,,,,,13.0,,
2020-03-15,57,,,,,,,8.0,,
2020-03-16,71,,11700.0,,,,,14.0,,
2020-03-17,94,,,,,,,23.0,,
2020-03-18,121,,15200.0,,,,,27.0,,
2020-03-19,150,,17180.0,,,,,29.0,,1980.0
2020-03-20,178,,19337.0,,,,,28.0,,2157.0
2020-03-21,229,,20500.0,,,,,51.0,,1163.0
2020-03-22,296,,22900.0,,,,,67.0,,2400.0
2020-03-23,355,,23700.0,,6.0,,96.0,59.0,,800.0
2020-03-24,411,,,,,,,56.0,,
2020-03-25,466,,,,,,,55.0,,
2020-03-26,520,2.0,26900.0,,,,149.0,54.0,,
2020-03-27,574,3.0,27800.0,,,,,54.0,1.0,900.0
2020-03-28,685,4.0,,,,,,111.0,1.0,
2020-03-29,769,,39000.0,,26.0,4.0,,84.0,,
2020-03-30,821,,,,,,,52.0,,
2020-03-31,917,,45000.0,,29.0,4.0,291.0,96.0,,
2020-04-01,968,5.0,47000.0,,32.0,6.0,343.0,51.0,,2000.0
2020-04-02,1036,6.0,49000.0,,,,,68.0,1.0,2000.0
2020-04-03,1085,7.0,51000.0,,37.0,7.0,,49.0,1.0,2000.0
2020-04-04,1115,8.0,,,,,,30.0,1.0,
2020-04-05,1135,,56000.0,,47.0,,573.0,20.0,,
2020-04-06,1158,10.0,57000.0,,45.0,11.0,620.0,23.0,,1000.0
2020-04-07,1191,11.0,58000.0,,47.0,13.0,686.0,33.0,1.0,1000.0
2020-04-08,1212,12.0,60000.0,,45.0,12.0,736.0,21.0,1.0,2000.0
2020-04-09,1228,,62000.0,,50.0,13.0,806.0,16.0,,2000.0
2020-04-10,1241,13.0,,,,13.0,926.0,13.0,,
2020-04-11,1265,14.0,,,44.0,15.0,986.0,24.0,1.0,
2020-04-12,1268,14.0,69000.0,,44.0,16.0,1015.0,3.0,0.0,
2020-04-13,1281,,70000.0,,40.0,14.0,1075.0,13.0,,1000.0
2020-04-14,1291,14.0,71000.0,,40.0,15.0,1118.0,10.0,,1000.0
